城市,2023-05环比,2023-05同比,2023-05 1-5月平均,2023-05实际房价
北京,99.4,102.8,103.7,101.909
唐山,99.6,94.7,93.8,95.989
天津,100.3,95.9,94.6,96.832
秦皇岛,99.9,95.9,95.9,96.548
石家庄,99.8,97.4,97.3,98.520
包头,99.9,96.7,96.1,97.729
太原,100.3,97.8,96.8,98.905
丹东,99.8,94.3,94.1,94.831
呼和浩特,99.5,95.1,95.0,95.380
锦州,99.7,95.4,94.6,96.663
沈阳,99.4,94.3,94.1,95.798
吉林,99.5,92.0,91.2,93.894
大连,99.5,96.4,95.8,97.297
牡丹江,99.7,92.6,91.0,95.107
长春,99.5,94.0,93.4,94.756
无锡,99.6,99.8,100.4,99.691
哈尔滨,99.6,94.8,92.9,97.319
徐州,99.4,98.5,99.1,97.608
上海,99.2,101.7,102.3,101.523
扬州,99.7,99.0,98.2,99.602
南京,99.4,99.9,99.0,101.834
温州,99.4,96.6,96.1,97.983
杭州,99.5,98.8,98.8,97.998
金华,99.6,96.2,95.1,97.052
宁波,99.7,99.3,99.1,98.813
蚌埠,99.8,98.3,97.5,99.699
合肥,99.6,100.9,100.0,100.907
安庆,99.4,95.3,94.7,95.760
福州,99.6,97.9,98.2,97.725
泉州,99.9,94.1,93.7,95.489
厦门,99.3,96.1,97.4,100.501
九江,99.8,97.5,97.3,98.121
南昌,99.7,98.0,97.7,97.344
赣州,100.1,99.0,99.1,99.205
济南,99.8,98.6,97.5,97.291
烟台,99.7,99.9,99.0,100.089
青岛,99.8,97.3,97.0,97.423
济宁,99.3,94.7,94.0,95.513
郑州,99.6,95.4,95.1,94.927
洛阳,99.5,94.6,93.7,94.606
武汉,99.5,96.5,95.5,96.934
平顶山,99.8,96.8,96.2,97.924
长沙,100.2,102.0,101.0,102.212
宜昌,99.4,93.6,93.5,94.434
广州,99.8,98.6,99.1,98.340
襄阳,99.8,96.1,95.0,96.184
深圳,99.9,98.4,98.2,99.049
岳阳,99.5,95.7,95.3,95.887
南宁,99.7,95.2,94.3,96.125
常德,100.1,96.6,95.2,96.249
海口,99.9,97.1,97.6,97.848
韶关,100.5,97.7,96.4,97.166
重庆,99.5,98.1,97.5,98.301
湛江,100.2,97.2,95.4,96.687
成都,100.3,108.7,109.1,107.033
惠州,99.5,98.0,97.7,98.305
贵阳,99.7,98.6,97.3,97.027
桂林,100.4,97.0,96.7,97.248
昆明,100.5,100.6,100.3,99.289
北海,100.3,94.8,93.3,95.114
西安,99.6,100.4,99.7,105.902
三亚,100.4,100.1,99.3,99.504
兰州,99.4,96.1,95.4,97.143
泸州,100.2,98.9,98.0,96.277
西宁,100.1,98.6,98.3,98.012
南充,100.4,101.7,101.8,100.097
银川,99.9,98.6,97.6,99.601
遵义,99.6,97.4,96.3,93.970
乌鲁木齐,99.8,97.2,97.5,97.615
大理,99.9,97.7,96.6,94.203
