资产,月度收益率,年化收益率,年初至今收益率,当前价值
股票,-2.19,-4.02,-4.02,2420.52
国债,0.12,0.82,0.82,2515.87
现金,0.58,2.44,2.44,2561.82
黄金,2.85,2.80,2.80,2543.78
