城市,2023-03环比,2023-03同比,2023-03 1-3月平均,2023-03实际房价
北京,100.7,103.8,104.2,102.524
唐山,99.8,93.1,93.4,95.684
天津,100.1,94.6,94.2,96.542
秦皇岛,100.2,96.2,95.7,96.640
石家庄,100.3,97.7,97.1,98.716
包头,99.9,95.9,95.7,97.825
太原,100.2,96.9,96.1,99.002
丹东,99.4,94.0,93.8,95.021
呼和浩特,99.8,95.0,94.9,95.859
锦州,99.9,94.3,94.2,96.954
沈阳,100.3,94.7,93.9,96.763
吉林,99.7,91.1,91.2,94.515
大连,100.3,96.0,95.4,97.773
牡丹江,99.8,91.7,90.2,95.293
长春,99.9,93.2,93.3,95.323
无锡,100.7,101.0,100.5,100.091
哈尔滨,100.8,92.9,91.8,96.644
徐州,100.3,100.2,99.1,98.388
上海,100.7,102.8,102.5,103.260
扬州,100.6,97.9,97.6,99.896
南京,100.4,99.2,98.4,102.449
温州,100.4,96.5,95.7,98.775
杭州,100.6,99.0,98.7,98.194
金华,100.4,95.4,94.5,97.442
宁波,100.3,99.0,99.0,99.106
蚌埠,100.1,97.6,97.2,99.899
合肥,100.2,100.0,99.5,101.213
安庆,100.2,95.2,94.4,96.435
福州,100.2,98.8,98.2,98.113
泉州,99.8,93.7,93.6,95.871
厦门,100.1,98.0,98.0,102.206
九江,100.3,97.4,97.1,98.316
南昌,99.9,97.5,97.7,97.729
赣州,100.4,99.2,99.1,99.107
济南,100.4,97.4,96.9,97.411
烟台,100.2,99.3,98.6,100.796
青岛,100.2,96.9,96.8,97.718
济宁,100.5,94.1,93.6,96.186
郑州,100.4,95.4,94.8,95.308
洛阳,100.1,93.7,93.1,95.362
武汉,100.5,95.8,94.8,97.028
平顶山,100.1,96.2,95.9,98.021
长沙,100.4,100.8,100.4,101.304
宜昌,99.9,93.6,93.4,95.285
广州,100.2,99.2,99.3,98.739
襄阳,100.1,94.6,94.4,96.358
深圳,100.3,98.7,98.0,99.149
岳阳,99.5,95.0,95.1,96.364
南宁,100.4,94.4,93.8,96.413
常德,100.1,95.1,94.5,96.160
海口,100.3,97.7,97.8,98.212
韶关,100.5,96.1,95.7,96.637
重庆,100.3,97.4,97.1,98.599
湛江,100.4,95.3,94.7,96.493
成都,100.8,109.4,109.1,106.711
惠州,100.1,97.5,97.4,98.801
贵阳,100.5,97.6,96.6,97.317
桂林,100.4,97.0,96.5,96.831
昆明,100.7,100.4,100.3,98.793
北海,100.3,93.2,92.6,94.914
西安,100.8,100.0,99.2,106.337
三亚,100.5,99.3,99.0,99.504
兰州,100.4,95.5,95.1,97.729
泸州,100.1,98.1,97.6,96.085
西宁,100.3,98.5,98.2,97.912
南充,100.4,102.2,101.8,99.697
银川,100.5,97.6,97.0,99.701
遵义,100.9,97.0,95.7,96.015
乌鲁木齐,99.7,97.4,97.6,97.811
大理,100.4,96.8,96.1,94.667
