城市,2023-08环比,2023-08同比,2023-08 1-8月平均,2023-08实际房价
北京,100.4,100.8,102.7,101.588
唐山,99.4,94.4,94.0,94.760
天津,99.3,96.4,95.3,95.584
秦皇岛,99.8,96.3,95.9,95.160
石家庄,99.6,97.4,97.3,97.730
包头,99.5,96.5,96.3,96.461
太原,99.7,97.2,96.9,97.813
丹东,99.0,93.8,94.0,93.882
呼和浩特,99.6,96.1,95.3,95.205
锦州,99.3,94.8,94.8,95.241
沈阳,99.6,94.5,94.2,95.949
吉林,99.6,92.6,91.7,92.421
大连,99.4,94.8,95.6,96.321
牡丹江,100.1,93.2,91.6,94.912
长春,99.8,94.7,93.8,94.287
无锡,99.4,96.9,99.4,98.400
哈尔滨,99.3,95.3,93.7,95.777
徐州,99.4,98.0,98.7,96.530
上海,99.7,98.0,101.1,100.816
扬州,99.2,97.1,98.1,97.819
南京,99.4,97.0,98.7,100.609
温州,99.4,96.6,96.3,97.212
杭州,99.5,97.2,98.3,97.423
金华,99.1,95.6,95.4,95.674
宁波,99.3,97.3,98.5,97.633
蚌埠,99.8,98.5,97.8,99.200
合肥,99.7,98.2,99.6,100.201
安庆,99.8,96.0,95.1,94.891
福州,99.5,96.9,97.8,96.703
泉州,99.1,94.2,93.9,94.147
厦门,99.4,95.1,96.5,99.701
九江,99.5,97.0,97.2,97.659
南昌,99.4,96.6,97.6,96.902
赣州,99.9,99.7,99.2,99.107
济南,99.5,98.3,97.8,96.526
烟台,99.7,97.7,98.8,99.692
青岛,99.2,95.6,96.6,95.674
济宁,99.9,95.7,94.5,95.623
郑州,99.1,94.8,95.1,93.143
洛阳,99.5,95.2,94.2,94.136
武汉,99.2,95.9,95.8,96.081
平顶山,99.7,96.9,96.4,96.844
长沙,99.5,100.8,101.1,101.502
宜昌,99.6,94.4,93.6,93.303
广州,99.4,96.3,98.3,97.078
襄阳,99.4,96.1,95.4,94.647
深圳,99.8,98.6,98.3,97.168
岳阳,99.2,95.9,95.7,95.729
南宁,99.4,95.2,94.6,95.072
常德,100.0,98.0,96.0,96.152
海口,99.5,96.0,97.0,96.474
韶关,99.7,97.4,96.8,96.536
重庆,99.4,95.9,97.1,97.119
湛江,99.5,97.4,96.0,95.338
成都,99.6,104.1,107.7,106.211
惠州,99.7,97.5,97.7,97.227
贵阳,99.4,97.6,97.7,96.062
桂林,99.3,96.4,96.7,95.212
昆明,99.3,99.9,100.3,96.921
北海,99.2,95.8,94.0,93.279
西安,99.7,99.1,99.5,104.474
三亚,99.9,100.0,99.6,99.012
兰州,99.2,96.3,95.8,95.903
泸州,99.4,97.6,98.1,94.370
西宁,99.6,98.8,98.6,97.012
南充,99.7,99.8,101.1,99.397
银川,99.6,97.8,97.7,98.513
遵义,99.4,96.2,96.4,93.509
乌鲁木齐,99.5,96.8,97.4,96.642
大理,100.1,97.2,96.8,93.821
