城市,2024-04环比,2024-04同比,2024-04 1-4月平均,2024-04实际房价
北京,98.4,92.0,94.1,95.846
唐山,99.1,92.3,93.5,91.730
天津,98.7,95.0,96.5,93.446
秦皇岛,99.0,93.0,94.2,92.626
石家庄,99.4,96.7,97.4,96.862
包头,99.1,93.3,94.5,93.059
太原,99.8,96.3,96.5,96.081
丹东,98.8,92.7,93.8,90.482
呼和浩特,98.9,93.3,94.3,92.493
锦州,98.9,93.6,94.7,92.002
沈阳,98.9,92.6,93.7,91.413
吉林,99.1,92.6,93.2,91.523
大连,98.4,92.1,93.5,92.054
牡丹江,99.6,93.1,93.7,91.055
长春,99.4,93.6,94.2,92.662
无锡,98.4,92.3,94.1,93.169
哈尔滨,99.5,93.1,94.5,93.234
徐州,99.0,88.1,89.4,90.110
上海,99.2,92.5,93.7,98.121
扬州,99.1,91.9,92.9,93.517
南京,98.6,89.3,90.9,93.566
温州,98.3,90.3,91.9,91.122
杭州,98.9,93.5,95.3,95.058
金华,99.1,91.9,93.2,93.143
宁波,99.0,91.6,93.1,93.293
蚌埠,99.0,93.7,95.0,96.224
合肥,98.8,92.6,93.9,96.886
安庆,99.1,93.1,94.3,91.532
福州,98.9,92.3,93.2,92.018
泉州,99.6,93.4,93.6,92.128
厦门,98.3,89.3,90.7,92.757
九江,98.5,92.2,93.8,93.711
南昌,98.7,93.7,94.5,93.910
赣州,98.8,96.4,98.0,96.015
济南,99.4,94.4,95.7,95.174
烟台,98.2,91.8,93.2,91.997
青岛,98.8,92.3,93.5,92.297
济宁,98.9,92.6,94.0,92.638
郑州,99.4,91.5,92.4,91.057
洛阳,99.5,93.2,93.9,91.484
武汉,98.5,89.4,91.7,90.431
平顶山,99.7,94.0,94.8,93.281
长沙,99.0,94.6,96.4,98.088
宜昌,99.4,93.9,94.3,91.899
广州,98.6,89.8,91.9,91.276
襄阳,98.8,91.2,92.7,89.229
深圳,99.3,91.5,93.2,90.611
岳阳,99.3,95.0,95.9,93.835
南宁,98.5,91.6,93.3,91.479
常德,98.8,93.5,95.4,90.924
海口,99.3,92.4,93.2,93.361
韶关,99.7,94.7,95.7,94.495
重庆,99.1,91.7,93.1,92.666
湛江,98.9,93.3,94.9,92.262
成都,99.2,94.3,96.5,100.834
惠州,98.8,93.5,95.0,94.150
贵阳,99.5,93.5,94.8,93.744
桂林,98.4,93.2,94.7,93.203
昆明,100.2,96.5,97.0,96.895
北海,99.6,95.2,96.0,93.687
西安,99.4,94.9,96.4,101.566
三亚,99.5,97.4,98.4,97.625
兰州,99.0,92.6,93.7,92.456
泸州,99.0,95.7,96.9,92.558
西宁,99.4,95.3,96.3,94.347
南充,99.7,96.1,97.0,96.703
银川,99.2,94.6,96.1,95.318
遵义,99.5,95.3,96.1,92.744
乌鲁木齐,99.5,95.4,95.9,94.311
大理,99.0,95.2,96.0,90.907
