城市,2022-10环比,2022-10同比,2022-10定基(2020=100),2022-10实际房价
北京,100.1,105.2,116.7,101.204
唐山,99.5,95.0,96.8,96.842
天津,99.4,93.9,94.4,97.221
秦皇岛,99.3,95.5,95.0,97.422
石家庄,99.5,95.6,92.9,99.205
包头,100.0,95.7,97.8,98.506
太原,99.4,94.3,91.2,99.101
丹东,99.4,93.5,97.4,96.934
呼和浩特,100.0,95.5,94.0,97.620
锦州,98.9,94.1,92.5,97.821
沈阳,99.5,93.8,99.3,98.211
吉林,99.0,92.3,91.0,96.252
大连,99.3,95.4,102.5,98.603
牡丹江,99.1,88.9,81.3,97.816
长春,99.5,94.1,93.1,97.522
无锡,99.5,100.2,107.9,99.898
哈尔滨,99.2,90.3,88.2,97.132
徐州,100.1,96.3,104.4,98.013
上海,99.6,103.9,113.7,101.103
扬州,99.9,96.6,103.1,99.798
南京,99.4,96.2,102.9,99.200
温州,99.5,95.5,101.5,98.218
杭州,99.2,99.5,107.7,97.909
金华,99.6,94.1,100.6,97.538
宁波,99.5,98.3,106.3,99.002
蚌埠,99.6,95.9,100.4,99.103
合肥,99.9,98.8,104.4,101.601
安庆,99.5,93.6,90.0,97.325
福州,99.4,97.4,102.3,98.507
泉州,99.4,93.7,100.9,97.413
厦门,99.6,98.6,103.0,98.710
九江,99.1,96.8,99.7,98.712
南昌,99.9,98.6,98.9,98.999
赣州,99.9,99.5,101.3,99.299
济南,99.7,96.6,96.9,97.509
烟台,100.2,97.4,100.4,100.697
青岛,99.4,97.0,98.1,97.612
济宁,99.1,93.8,99.0,96.457
郑州,99.5,94.7,95.2,94.933
洛阳,99.2,92.3,96.3,96.613
武汉,99.5,94.2,97.3,96.838
平顶山,99.6,96.1,98.3,98.213
长沙,99.9,99.9,106.0,100.600
宜昌,99.3,93.1,91.6,96.254
广州,99.3,99.8,111.2,99.300
襄阳,99.5,94.3,93.8,97.327
深圳,99.8,96.5,103.4,97.915
岳阳,99.4,95.4,93.5,97.425
南宁,99.2,94.0,94.9,96.831
常德,99.2,93.8,92.1,96.938
海口,99.3,99.9,108.7,98.703
韶关,99.7,95.8,96.5,98.012
重庆,99.3,98.5,103.7,99.200
湛江,99.5,94.2,94.5,97.039
成都,100.4,107.5,115.7,103.637
惠州,99.6,98.3,101.5,99.301
贵阳,99.4,95.0,92.7,98.414
桂林,99.6,96.5,97.2,96.826
昆明,99.4,101.2,102.8,98.999
北海,99.1,92.1,89.9,95.289
西安,99.8,97.9,105.8,105.414
三亚,99.4,97.9,103.9,98.910
兰州,99.5,94.8,98.5,97.818
泸州,99.3,96.5,96.6,95.821
西宁,99.2,96.3,103.0,98.308
南充,100.3,101.1,94.3,100.099
银川,99.8,96.5,104.1,99.805
遵义,99.5,95.6,94.8,95.207
乌鲁木齐,100.0,97.6,99.6,98.703
大理,99.7,95.5,95.5,95.392
