城市,2024-11环比,2024-11同比,2024-11 1-11月平均,2024-11实际房价
北京,100.9,93.8,92.7,96.594
唐山,99.0,88.2,91.1,85.321
天津,100.2,93.3,94.4,92.260
秦皇岛,99.1,88.4,91.6,89.962
石家庄,99.8,92.7,95.2,94.405
包头,99.2,88.6,91.8,88.415
太原,99.7,95.3,95.8,94.813
丹东,98.7,88.9,91.7,88.234
呼和浩特,98.9,89.1,92.0,89.251
锦州,99.1,92.1,93.4,91.105
沈阳,99.8,92.5,92.8,90.133
吉林,99.5,93.7,93.2,91.627
大连,99.6,90.2,91.8,91.662
牡丹江,99.3,91.7,92.5,89.179
长春,99.8,93.8,93.7,91.422
无锡,99.7,91.5,92.4,91.879
哈尔滨,99.1,91.9,93.0,90.589
徐州,100.2,90.6,88.8,88.330
上海,100.4,95.1,93.7,99.355
扬州,99.1,91.1,91.8,90.758
南京,100.0,92.6,90.9,93.490
温州,98.7,87.8,89.9,87.269
杭州,100.8,93.9,94.2,96.206
金华,99.5,87.4,90.3,88.326
宁波,100.1,90.6,91.1,91.349
蚌埠,99.7,91.9,93.1,95.135
合肥,99.6,90.5,92.1,93.627
安庆,99.6,90.5,92.2,92.295
福州,99.6,89.8,91.1,90.240
泉州,99.1,88.4,91.3,87.595
厦门,100.4,86.9,88.1,85.544
九江,99.6,89.9,91.5,92.085
南昌,99.6,88.5,91.4,91.040
赣州,99.9,93.5,95.2,93.833
济南,99.3,89.9,92.7,91.835
烟台,99.6,90.9,91.2,91.191
青岛,99.6,91.2,91.9,91.665
济宁,99.8,93.2,92.7,92.010
郑州,99.5,91.5,91.7,89.142
洛阳,99.5,91.2,92.6,88.924
武汉,99.8,88.1,89.0,87.917
平顶山,99.8,93.0,93.7,92.020
长沙,99.6,90.6,93.2,94.782
宜昌,99.7,92.3,93.4,90.159
广州,99.6,88.1,89.3,88.682
襄阳,99.4,89.2,90.7,87.039
深圳,100.5,91.0,91.1,88.663
岳阳,99.6,93.7,94.9,91.188
南宁,99.5,90.6,91.5,90.755
常德,99.6,90.1,92.4,92.174
海口,100.0,90.9,91.6,91.007
韶关,99.4,93.1,94.0,91.797
重庆,100.4,92.9,92.1,92.027
湛江,99.7,91.6,92.8,90.851
成都,100.7,92.4,93.5,100.364
惠州,99.6,89.0,92.1,90.387
贵阳,99.7,93.6,93.8,91.077
桂林,99.7,93.8,93.8,93.536
昆明,99.5,94.0,95.2,95.192
北海,99.6,94.2,94.8,91.837
西安,99.7,92.5,94.5,93.848
三亚,99.4,93.0,96.0,96.393
兰州,99.7,90.3,91.8,91.102
泸州,99.5,92.1,94.6,90.867
西宁,99.2,92.3,94.2,91.391
南充,99.7,92.2,94.2,94.207
银川,99.6,94.2,94.7,94.334
遵义,99.6,94.5,95.4,91.593
乌鲁木齐,99.6,94.2,95.2,93.056
大理,99.7,91.9,93.8,89.317
