城市,2025-04环比,2025-04同比,2025-04 1-04月平均,2025-04实际房价
北京,99.4,99.0,97.5,96.687
唐山,99.3,88.8,88.7,82.697
天津,99.8,96.3,95.1,91.797
秦皇岛,99.2,89.6,89.4,88.094
石家庄,99.7,93.4,93.0,93.069
包头,99.8,89.9,89.4,87.593
太原,99.4,94.8,95.3,93.191
丹东,100.1,91.4,90.1,87.893
呼和浩特,99.5,89.5,89.0,86.748
锦州,99.4,92.1,91.6,89.327
沈阳,99.5,94.4,93.6,88.818
吉林,99.6,94.8,94.4,90.418
大连,99.7,92.3,91.3,90.134
牡丹江,99.3,92.0,92.1,87.232
长春,99.7,93.9,93.6,89.423
无锡,99.6,94.1,93.2,90.671
哈尔滨,99.6,92.3,92.1,88.776
徐州,98.9,92.7,92.7,85.124
上海,100.1,99.4,98.4,101.152
扬州,99.4,91.7,91.3,88.808
南京,99.3,95.7,95.0,91.898
温州,99.6,91.1,89.9,86.857
杭州,99.7,98.1,96.7,96.335
金华,99.7,90.1,89.1,87.707
宁波,99.4,93.0,92.3,90.710
蚌埠,99.6,94.4,93.6,94.033
合肥,99.7,92.6,91.9,92.178
安庆,99.3,91.4,91.2,90.460
福州,99.6,91.2,90.8,89.146
泉州,99.8,89.3,89.1,87.344
厦门,99.4,91.3,90.2,74.699
九江,99.9,92.5,91.4,91.352
南昌,99.5,90.5,89.7,89.809
赣州,100.2,96.6,95.4,93.831
济南,99.9,91.7,91.0,91.469
烟台,99.5,91.8,91.0,89.718
青岛,99.7,93.9,93.0,91.298
济宁,99.3,95.0,94.5,90.819
郑州,99.2,92.0,92.2,87.149
洛阳,99.8,93.7,93.2,88.196
武汉,99.6,92.7,91.3,86.758
平顶山,99.4,94.9,94.8,91.111
长沙,99.6,92.6,91.9,93.674
宜昌,99.8,93.3,92.9,89.217
广州,100.0,92.6,91.1,88.219
襄阳,99.6,91.0,90.3,85.847
深圳,99.7,96.3,95.2,88.989
岳阳,99.6,94.2,94.0,90.133
南宁,99.6,92.1,91.3,89.759
常德,99.4,92.1,91.3,90.733
海口,99.7,94.5,93.8,90.445
韶关,99.4,93.1,93.2,91.019
重庆,99.8,95.4,94.7,91.329
湛江,99.7,93.5,92.7,89.744
成都,100.1,97.8,96.5,102.168
惠州,99.0,89.6,89.6,88.235
贵阳,99.6,95.3,94.9,90.259
桂林,99.4,95.7,94.7,92.046
昆明,99.2,91.5,92.3,93.301
北海,99.5,94.6,94.7,90.759
西安,99.6,93.2,93.1,92.818
三亚,99.6,93.2,93.1,95.011
兰州,99.7,92.2,91.4,90.109
泸州,99.9,93.1,92.3,90.048
西宁,100.1,93.4,92.8,90.669
南充,99.7,93.5,93.3,93.626
银川,99.8,95.1,94.6,93.199
遵义,99.4,94.2,94.3,90.820
乌鲁木齐,99.3,94.4,94.3,91.847
大理,99.6,93.1,92.7,88.205
