城市,2023-04环比,2023-04同比,2023-04 1-4月平均,2023-04实际房价
北京,100.1,103.3,104.0,102.730
唐山,100.5,94.0,93.5,96.378
天津,99.9,94.8,94.3,96.446
秦皇岛,99.8,96.1,95.8,95.851
石家庄,99.8,97.7,97.2,98.518
包头,100.2,96.6,95.9,97.921
太原,99.6,98.1,96.6,98.607
丹东,100.2,94.5,94.0,95.411
呼和浩特,99.9,95.1,95.0,95.764
锦州,100.1,95.1,94.4,97.154
沈阳,99.6,94.7,94.1,96.377
吉林,99.7,90.7,91.1,94.317
大连,99.5,96.5,95.7,97.284
牡丹江,100.1,91.8,90.6,95.390
长春,99.8,93.0,93.2,95.232
无锡,99.8,101.0,100.6,99.701
哈尔滨,100.4,94.3,92.4,97.666
徐州,99.6,99.4,99.2,98.197
上海,99.8,102.5,102.5,102.347
扬州,99.9,99.0,98.0,99.001
南京,99.9,99.7,98.8,102.336
温州,99.6,96.6,95.9,98.381
杭州,100.3,99.1,98.8,98.494
金华,99.8,95.6,94.8,96.748
宁波,100.1,99.2,99.0,98.909
蚌埠,99.9,97.6,97.3,99.699
合肥,99.9,100.8,99.8,101.414
安庆,99.9,95.3,94.6,96.338
福州,99.8,98.4,98.3,98.117
泉州,99.5,93.8,93.6,95.582
厦门,99.5,97.2,97.8,101.594
九江,100.3,97.6,97.2,98.317
南昌,99.7,97.6,97.7,97.436
赣州,100.3,99.2,99.1,99.404
济南,100.2,98.3,97.3,97.486
烟台,99.5,99.4,98.8,100.292
青岛,99.7,97.2,96.9,97.419
济宁,100.3,94.8,93.8,96.166
郑州,99.7,95.6,95.0,95.010
洛阳,99.9,94.3,93.4,95.081
武汉,100.4,96.5,95.2,97.421
平顶山,100.1,96.7,96.1,98.121
长沙,100.3,101.6,100.7,102.008
宜昌,99.7,93.5,93.4,95.005
广州,100.3,99.0,99.2,98.534
襄阳,100.2,95.4,94.7,96.555
深圳,100.5,98.6,98.1,99.343
岳阳,100.5,95.3,95.1,97.364
南宁,100.2,94.9,94.1,96.606
常德,100.3,95.8,94.8,96.456
海口,99.5,97.1,97.7,97.737
韶关,100.6,97.4,96.1,97.164
重庆,100.4,98.2,97.4,98.995
湛江,100.3,95.8,95.0,96.785
成都,100.7,109.4,109.2,106.426
惠州,100.4,98.1,97.6,99.197
贵阳,100.3,98.0,96.9,97.125
桂林,99.6,96.9,96.6,96.456
昆明,100.4,100.3,100.3,98.501
北海,100.2,93.7,92.9,94.203
西安,100.3,100.4,99.5,106.256
三亚,100.1,99.4,99.1,99.108
兰州,99.8,95.5,95.2,97.744
泸州,100.1,98.4,97.8,96.156
西宁,100.1,98.3,98.2,97.891
南充,100.2,101.9,101.8,99.697
银川,100.2,98.3,97.3,99.401
遵义,99.7,96.9,96.0,94.480
乌鲁木齐,99.8,97.3,97.5,97.615
大理,99.4,97.2,96.3,94.299
