城市,2023-07环比,2023-07同比,2023-07 1-7月平均,2023-07实际房价
北京,99.4,100.6,103.0,101.297
唐山,99.3,94.5,94.0,95.320
天津,99.6,96.5,95.1,96.860
秦皇岛,99.4,95.8,95.9,95.873
石家庄,99.9,97.4,97.3,98.124
包头,99.3,96.5,96.2,96.946
太原,100.1,97.1,96.9,99.002
丹东,99.6,94.1,94.0,94.552
呼和浩特,99.7,95.8,95.2,95.092
锦州,99.7,95.1,94.8,96.374
沈阳,99.4,94.1,94.1,95.344
吉林,99.0,92.2,91.5,92.962
大连,99.2,95.1,95.7,96.522
牡丹江,99.3,92.5,91.4,94.153
长春,99.7,94.6,93.7,94.472
无锡,99.2,97.7,99.8,98.894
哈尔滨,99.3,95.1,93.5,96.649
徐州,99.1,97.8,98.8,96.439
上海,99.3,98.8,101.5,100.797
扬州,99.6,97.8,98.2,98.210
南京,99.1,98.3,98.9,100.818
温州,99.2,96.7,96.3,97.201
杭州,99.4,97.3,98.4,97.412
金华,99.3,96.1,95.4,96.372
宁波,99.5,97.5,98.7,98.320
蚌埠,99.9,98.1,97.7,99.599
合肥,99.5,98.7,99.8,100.402
安庆,99.7,95.7,95.0,94.795
福州,99.3,97.0,97.9,97.037
泉州,99.7,94.2,93.8,95.205
厦门,99.4,94.9,96.7,99.901
九江,99.4,96.9,97.2,97.626
南昌,99.8,97.3,97.7,97.147
赣州,100.0,99.6,99.2,99.205
济南,99.9,98.5,97.8,97.010
烟台,99.2,97.8,98.9,99.088
青岛,99.1,95.9,96.8,96.444
济宁,99.9,95.0,94.3,95.412
郑州,99.0,94.9,95.1,93.983
洛阳,99.8,95.1,94.0,94.412
武汉,99.4,96.1,95.7,96.353
平顶山,99.8,96.8,96.3,97.236
长沙,99.8,101.5,101.2,102.008
宜昌,99.2,93.5,93.5,93.654
广州,99.0,96.8,98.6,97.064
襄阳,99.1,96.0,95.3,95.228
深圳,99.1,98.3,98.3,97.368
岳阳,99.6,96.7,95.7,95.499
南宁,99.5,95.0,94.5,95.463
常德,100.3,97.5,95.7,96.152
海口,99.6,96.2,97.2,96.960
韶关,99.4,97.5,96.8,96.903
重庆,99.2,96.0,97.2,97.519
湛江,99.6,96.9,95.8,96.201
成都,99.8,105.2,108.2,106.818
惠州,100.1,97.6,97.7,98.514
贵阳,99.3,98.6,97.7,96.347
桂林,99.3,96.7,96.7,95.589
昆明,100.4,101.0,100.4,99.595
北海,100.4,95.6,93.8,95.502
西安,99.4,98.9,99.6,104.785
三亚,99.5,100.1,99.6,99.003
兰州,99.5,96.8,95.8,96.667
泸州,99.5,98.1,98.2,94.932
西宁,99.8,99.3,98.6,97.916
南充,99.6,99.8,101.3,99.697
银川,99.3,97.9,97.7,98.503
遵义,99.6,96.5,96.5,93.555
乌鲁木齐,99.4,97.2,97.4,97.135
大理,100.3,97.4,96.7,94.219
