城市,2022-08环比,2022-08同比,2022-08定基(2020=100),2022-08实际房价
北京,100.2,103.9,116.0,100.902
唐山,99.6,95.4,97.9,97.914
天津,99.3,95.8,95.9,98.111
秦皇岛,99.3,96.1,96.2,98.409
石家庄,99.6,95.5,93.5,99.202
包头,99.6,96.1,98.6,98.904
太原,99.6,94.5,92.2,99.798
丹东,99.3,95.0,98.9,98.506
呼和浩特,99.3,94.9,94.4,98.112
锦州,99.6,94.9,94.1,99.302
沈阳,99.2,94.5,100.2,98.310
吉林,99.1,93.2,92.5,97.130
大连,99.7,97.1,104.0,99.700
牡丹江,99.3,89.3,83.0,98.112
长春,99.7,94.9,93.9,98.309
无锡,100.2,100.7,108.7,100.802
哈尔滨,99.1,90.5,89.4,97.727
徐州,99.2,95.8,104.7,98.211
上海,100.6,102.8,113.6,101.608
扬州,99.9,96.5,103.6,100.300
南京,100.7,96.6,103.4,100.498
温州,99.4,95.3,102.1,98.310
杭州,99.6,100.0,109.2,99.898
金华,99.7,94.5,101.6,98.707
宁波,99.4,98.6,107.1,99.897
蚌埠,99.4,96.1,101.2,99.002
合肥,100.2,98.4,104.3,101.507
安庆,99.5,93.8,90.9,98.112
福州,99.7,97.7,103.2,99.303
泉州,99.1,94.3,102.2,97.914
厦门,99.3,99.0,104.0,98.904
九江,99.4,97.4,100.8,99.103
南昌,100.1,98.6,99.2,100.300
赣州,99.7,100.5,101.7,99.499
济南,99.6,96.4,97.3,97.902
烟台,99.8,97.3,100.7,100.697
青岛,99.6,97.9,99.1,99.102
济宁,99.2,95.5,100.8,98.311
郑州,99.2,94.9,96.1,98.012
洛阳,99.4,93.6,97.6,98.011
武汉,99.4,94.9,98.5,98.311
平顶山,99.7,96.7,99.3,99.104
长沙,100.2,99.6,105.9,100.500
宜昌,98.7,93.8,92.8,97.314
广州,99.9,100.0,112.7,100.500
襄阳,99.3,94.9,94.8,97.913
深圳,99.5,96.4,104.0,98.013
岳阳,100.1,96.2,94.9,98.705
南宁,99.2,94.6,96.0,98.013
常德,99.5,94.4,93.1,97.815
海口,99.8,102.1,110.3,100.099
韶关,99.8,95.6,97.2,98.804
重庆,99.6,99.8,105.0,99.899
湛江,99.0,94.6,95.6,97.815
成都,100.6,106.8,114.9,103.224
惠州,99.8,98.2,102.2,100.000
贵阳,100.3,94.8,93.4,99.004
桂林,99.6,96.4,98.1,98.209
昆明,100.4,100.8,103.1,99.398
北海,99.0,93.5,91.7,97.219
西安,99.5,98.5,106.5,99.798
三亚,100.0,99.2,104.6,99.502
兰州,99.7,95.0,99.5,98.507
泸州,99.9,96.4,97.2,96.903
西宁,100.1,96.8,104.2,99.401
南充,99.7,99.7,94.3,100.198
银川,99.8,96.8,104.7,100.005
遵义,99.7,95.8,95.8,95.703
乌鲁木齐,99.9,96.6,99.6,98.703
大理,100.3,94.7,95.8,100.299
