城市,2024-08环比,2024-08同比,2024-08 1-8月平均,2024-08实际房价
北京,99.0,91.5,93.1,95.076
唐山,98.9,89.8,92.1,88.247
天津,99.4,93.3,95.0,92.513
秦皇岛,98.7,89.9,92.7,89.861
石家庄,98.6,93.8,96.1,94.456
包头,98.5,90.0,92.9,90.391
太原,99.5,95.1,95.9,95.123
丹东,98.8,90.5,92.5,89.638
呼和浩特,99.1,90.6,92.9,90.492
锦州,99.4,92.9,93.9,91.247
沈阳,99.2,92.1,93.0,90.113
吉林,100.1,93.6,93.0,91.361
大连,99.3,91.1,92.4,91.026
牡丹江,99.2,91.4,92.9,89.767
长春,99.2,93.0,93.8,91.460
无锡,99.0,91.6,93.0,91.420
哈尔滨,99.5,92.0,93.3,91.470
徐州,99.2,87.9,88.6,88.763
上海,99.4,94.2,93.7,98.220
扬州,98.4,90.8,92.2,91.545
南京,99.4,91.0,90.6,93.260
温州,98.3,88.4,90.6,88.928
杭州,99.3,93.8,94.5,94.679
金华,98.1,88.4,91.4,89.334
宁波,98.4,89.1,91.5,90.427
蚌埠,99.0,91.5,93.7,94.412
合肥,98.9,90.9,92.8,93.646
安庆,98.9,90.5,92.9,89.193
福州,98.0,89.1,91.8,88.708
泉州,98.4,89.6,92.3,88.808
厦门,97.8,85.4,88.9,85.127
九江,99.3,90.1,92.3,92.410
南昌,99.2,89.4,92.5,91.326
赣州,99.7,93.2,95.9,93.973
济南,98.1,90.0,93.7,92.239
烟台,99.2,89.3,91.6,90.688
青岛,99.0,91.1,92.3,91.842
济宁,99.3,91.1,92.8,91.606
郑州,99.1,91.6,91.9,89.889
洛阳,99.5,92.1,93.3,89.598
武汉,99.3,86.7,89.6,87.851
平顶山,99.3,92.8,94.0,92.104
长沙,99.1,91.2,94.2,95.634
宜昌,99.3,93.0,93.8,90.442
广州,99.3,87.5,89.9,89.092
襄阳,98.7,89.3,91.3,87.376
深圳,98.7,89.2,91.7,88.585
岳阳,99.0,94.4,95.3,91.442
南宁,99.1,90.4,92.1,91.103
常德,99.8,90.8,93.4,91.466
海口,98.4,89.9,92.1,90.021
韶关,99.1,92.5,94.4,92.826
重庆,98.8,91.0,92.2,90.912
湛江,99.2,91.3,93.4,91.345
成都,99.5,91.3,94.2,99.226
惠州,97.8,89.5,93.3,90.747
贵阳,99.5,93.3,94.0,91.624
桂林,99.9,93.5,93.8,93.130
昆明,98.8,93.8,95.7,94.378
北海,98.8,93.6,95.1,92.390
西安,98.9,93.4,95.2,94.124
三亚,99.6,95.3,97.0,96.928
兰州,98.4,89.9,92.4,89.764
泸州,99.5,93.6,95.3,91.109
西宁,99.4,92.5,94.8,93.232
南充,99.1,91.9,95.0,94.381
银川,99.6,93.8,94.9,94.072
遵义,99.4,95.1,95.8,91.766
乌鲁木齐,99.9,95.3,95.5,93.279
大理,99.0,91.9,94.6,89.737
