城市,2023-09环比,2023-09同比,2023-09 1-9月平均,2023-09实际房价
北京,100.7,101.1,102.5,102.006
唐山,99.8,94.9,94.1,95.129
天津,100.1,97.5,95.5,96.960
秦皇岛,99.6,96.4,96.0,95.502
石家庄,100.1,97.7,97.4,98.222
包头,99.4,96.6,96.3,96.364
太原,99.3,97.0,96.9,97.312
丹东,99.5,94.3,94.0,94.079
呼和浩特,99.4,96.1,95.4,94.621
锦州,99.6,95.0,94.8,95.979
沈阳,99.3,94.2,94.2,94.676
吉林,99.5,92.8,91.8,92.497
大连,99.5,95.0,95.5,96.039
牡丹江,99.3,93.7,91.9,93.495
长春,98.8,93.9,93.8,93.239
无锡,99.7,96.9,99.1,98.597
哈尔滨,99.2,95.2,93.9,95.876
徐州,98.7,97.1,98.5,95.185
上海,100.6,98.1,100.7,101.402
扬州,99.3,96.9,97.9,97.519
南京,99.1,96.0,98.4,99.909
温州,99.1,95.9,96.3,96.326
杭州,99.6,97.4,98.2,97.022
金华,99.7,95.8,95.5,95.968
宁波,99.2,96.8,98.4,97.534
蚌埠,99.6,98.5,97.8,99.202
合肥,99.6,97.6,99.4,100.002
安庆,99.9,96.4,95.3,94.700
福州,99.2,96.4,97.6,96.261
泉州,99.5,94.3,93.9,94.729
厦门,99.3,94.9,96.4,99.201
九江,99.6,96.8,97.1,97.243
南昌,99.7,96.6,97.5,97.058
赣州,99.8,99.9,99.3,99.006
济南,98.9,97.3,97.8,95.941
烟台,99.3,97.4,98.6,98.395
青岛,99.7,95.7,96.5,96.251
济宁,99.1,95.6,94.6,94.554
郑州,99.5,94.8,95.0,93.514
洛阳,99.7,95.5,94.3,94.129
武汉,99.5,96.2,95.8,95.872
平顶山,99.5,97.0,96.5,96.720
长沙,99.6,100.2,101.0,101.600
宜昌,99.5,94.4,93.7,93.226
广州,99.3,96.2,98.1,96.389
襄阳,99.6,96.4,95.5,94.895
深圳,100.0,99.0,98.4,97.368
岳阳,99.9,96.6,95.8,95.403
南宁,99.6,95.2,94.6,94.886
常德,99.3,97.5,96.1,95.479
海口,99.6,96.2,97.0,96.554
韶关,99.0,96.9,96.8,95.934
重庆,99.1,95.5,96.9,96.642
湛江,99.3,97.5,96.2,95.528
成都,99.8,103.7,107.2,106.606
惠州,99.6,97.4,97.7,97.126
贵阳,99.7,97.4,97.7,96.050
桂林,99.5,96.5,96.6,95.111
昆明,99.7,99.2,100.2,99.299
北海,99.4,96.3,94.3,95.201
西安,99.5,99.0,99.5,104.261
三亚,99.8,99.9,99.6,98.805
兰州,99.2,95.9,95.8,95.894
泸州,99.5,97.0,98.0,94.452
西宁,99.5,98.5,98.6,97.427
南充,99.5,99.6,101.0,99.198
银川,99.7,97.9,97.7,98.207
遵义,99.7,96.4,96.4,93.257
乌鲁木齐,99.6,96.4,97.3,96.743
大理,99.5,96.9,96.8,93.788
