城市,2025-05环比,2025-05同比,2025-05 1-05月平均,2025-05实际房价
北京,99.2,99.3,97.9,96.114
唐山,99.2,89.5,88.8,82.226
天津,99.4,96.7,95.4,91.430
秦皇岛,99.1,89.6,89.4,87.255
石家庄,99.6,94.0,93.2,92.697
包头,99.5,90.3,89.5,86.842
太原,99.6,95.0,95.2,92.809
丹东,99.6,92.3,90.5,87.404
呼和浩特,99.4,90.1,89.2,85.816
锦州,99.6,92.2,91.8,89.789
沈阳,99.8,94.8,93.8,89.006
吉林,99.7,95.6,94.6,90.147
大连,99.4,92.7,91.6,89.664
牡丹江,99.9,92.8,92.2,87.159
长春,99.5,93.9,93.6,89.145
无锡,100.2,94.9,93.5,91.419
哈尔滨,99.4,92.5,92.2,88.394
徐州,99.5,93.4,92.8,84.691
上海,99.3,99.9,98.7,100.344
扬州,99.3,91.3,91.3,88.157
南京,99.1,95.4,95.1,91.890
温州,99.2,91.2,90.2,85.508
杭州,99.6,98.7,97.1,96.199
金华,99.3,90.8,89.5,87.268
宁波,99.0,93.6,92.5,89.793
蚌埠,99.5,94.7,93.8,93.938
合肥,99.3,92.7,92.1,91.770
安庆,99.2,91.9,91.3,89.154
福州,99.4,92.0,91.0,88.956
泉州,99.6,89.8,89.3,86.933
厦门,99.6,92.8,90.7,74.717
九江,99.3,92.9,91.7,90.801
南昌,99.3,91.6,90.1,89.123
赣州,99.6,97.4,95.8,93.783
济南,99.6,92.9,91.3,91.196
烟台,99.3,92.0,91.2,89.069
青岛,99.8,94.8,93.3,91.290
济宁,99.4,95.5,94.7,90.845
郑州,99.3,92.1,92.2,86.441
洛阳,100.1,94.7,93.5,88.447
武汉,99.0,93.0,91.7,85.890
平顶山,99.7,95.2,94.9,91.195
长沙,99.3,93.1,92.2,93.293
宜昌,99.6,94.1,93.2,88.791
广州,99.2,93.4,91.5,87.503
襄阳,99.5,91.7,90.5,85.756
深圳,99.5,96.8,95.5,88.592
岳阳,99.4,94.1,94.0,89.865
南宁,99.7,92.6,91.5,89.470
常德,99.3,92.5,91.5,90.104
海口,99.9,95.2,94.0,90.445
韶关,99.7,93.6,93.3,91.143
重庆,99.9,95.9,95.0,91.433
湛江,99.5,93.7,92.9,89.356
成都,99.8,98.7,97.0,102.027
惠州,99.5,90.2,89.7,87.785
贵阳,99.5,95.3,95.0,89.768
桂林,99.2,95.3,94.9,91.319
昆明,99.4,92.0,92.3,92.753
北海,99.3,94.5,94.6,89.741
西安,99.3,93.5,93.1,91.633
三亚,99.4,93.3,93.1,94.735
兰州,99.5,92.4,91.6,89.839
泸州,99.3,93.5,92.5,89.090
西宁,99.9,94.0,93.0,90.479
南充,100.1,94.6,93.6,94.207
银川,99.5,95.4,94.7,93.220
遵义,99.7,94.0,94.2,90.891
乌鲁木齐,99.8,94.8,94.4,92.583
大理,99.7,94.2,93.0,88.147
