资产,月度收益率,年化收益率,年初至今收益率,当前价值
股票,-1.89,-6.89,-6.89,2328.00
国债,0.18,0.39,0.39,2509.78
现金,0.41,0.83,0.83,2521.78
黄金,-2.10,-1.26,-1.26,2468.35
