城市,2022-12环比,2022-12同比,2022-12定基(2020=100),2022-12实际房价
北京,99.6,103.9,116.0,100.700
唐山,99.5,94.2,95.8,96.358
天津,99.3,93.6,93.4,96.540
秦皇岛,99.7,95.5,94.3,96.047
石家庄,99.9,96.6,92.2,98.415
包头,99.4,95.5,96.8,97.915
太原,99.3,95.3,90.2,98.607
丹东,99.0,93.0,95.9,96.012
呼和浩特,98.8,94.9,92.9,96.448
锦州,99.6,94.4,91.8,97.829
沈阳,99.2,93.1,97.8,97.447
吉林,99.3,91.4,89.6,95.583
大连,99.7,94.9,101.7,97.612
牡丹江,99.0,88.4,79.5,96.530
长春,99.2,93.6,91.8,96.773
无锡,99.4,100.4,107.0,99.298
哈尔滨,99.4,90.9,87.0,96.549
徐州,100.2,97.7,104.8,98.206
上海,99.5,102.6,112.7,100.547
扬州,99.7,97.2,102.4,99.499
南京,99.5,96.3,102.1,101.695
温州,99.9,95.2,100.6,98.019
杭州,99.9,99.1,107.4,97.819
金华,99.8,93.9,99.8,97.341
宁波,100.1,98.4,105.8,98.612
蚌埠,99.8,96.9,100.7,100.099
合肥,99.7,98.6,103.6,101.295
安庆,99.6,93.3,88.8,96.132
福州,99.7,96.9,101.5,98.220
泉州,99.6,93.8,99.8,97.341
厦门,99.5,98.4,102.1,98.623
九江,99.7,97.0,99.1,97.914
南昌,99.6,98.3,98.0,97.819
赣州,99.9,98.8,101.0,99.100
济南,99.8,96.5,96.3,97.315
烟台,99.9,97.2,99.9,100.596
青岛,99.5,96.6,96.9,97.513
济宁,99.3,92.9,97.4,95.789
郑州,99.4,94.3,93.8,94.363
洛阳,99.3,92.4,95.0,94.585
武汉,99.6,93.9,96.2,96.481
平顶山,99.7,95.8,97.5,97.917
长沙,100.2,99.9,106.2,100.802
宜昌,99.4,93.2,90.9,95.689
广州,99.4,99.5,109.9,98.708
襄阳,99.8,94.3,93.2,97.087
深圳,99.5,96.3,102.6,97.526
岳阳,99.5,95.2,92.7,96.941
南宁,99.3,93.9,93.8,96.152
常德,99.3,93.4,90.9,96.851
海口,99.5,98.7,107.9,98.207
韶关,99.6,95.7,95.6,97.830
重庆,99.6,97.9,102.6,98.803
湛江,99.6,93.5,93.2,95.784
成都,100.2,109.1,116.3,103.844
惠州,99.7,98.4,101.0,98.902
贵阳,100.1,96.0,92.4,98.414
桂林,99.5,96.1,96.0,96.361
昆明,100.3,101.9,103.7,99.298
北海,98.8,91.4,88.4,94.148
西安,99.7,97.7,104.8,105.098
三亚,99.8,98.1,103.4,98.515
兰州,99.5,94.9,98.0,97.329
泸州,100.1,96.9,95.9,95.914
西宁,99.8,96.8,102.5,97.912
南充,99.6,101.4,93.3,99.101
银川,99.9,96.4,103.4,99.205
遵义,99.0,95.0,93.8,94.255
乌鲁木齐,99.4,97.7,99.1,98.111
大理,99.5,95.9,94.2,94.691
