城市,2023-02环比,2023-02同比,2023-02 1-2月平均,2023-02实际房价
北京,100.8,104.4,104.3,102.625
唐山,99.6,93.3,93.5,95.898
天津,100.6,94.1,94.0,97.120
秦皇岛,99.9,95.6,95.5,96.043
石家庄,100.1,97.0,96.8,98.420
包头,99.8,95.6,95.6,97.725
太原,100.3,96.1,95.7,98.904
丹东,99.6,94.0,93.7,95.595
呼和浩特,99.9,95.0,94.8,96.051
锦州,99.7,94.3,94.2,97.051
沈阳,99.6,93.8,93.5,96.471
吉林,99.5,91.3,91.2,94.801
大连,100.2,95.3,95.1,97.480
牡丹江,99.6,89.9,89.4,95.484
长春,99.6,93.3,93.3,95.423
无锡,101.0,100.8,100.2,99.902
哈尔滨,99.7,91.5,91.2,95.596
徐州,100.8,99.2,98.6,98.890
上海,101.0,102.5,102.4,102.552
扬州,99.8,97.7,97.5,99.101
南京,100.6,98.7,98.1,102.438
温州,100.6,95.7,95.3,98.381
杭州,100.4,98.7,98.6,98.205
金华,99.9,94.3,94.1,96.941
宁波,100.2,98.8,99.0,98.810
蚌埠,100.2,97.2,97.0,99.799
合肥,100.5,99.5,99.2,101.517
安庆,100.1,94.2,94.0,96.228
福州,100.4,98.3,97.9,98.310
泉州,99.7,93.5,93.6,96.061
厦门,99.9,97.9,98.0,102.104
九江,99.8,96.8,97.0,97.824
南昌,99.9,97.8,97.8,97.729
赣州,99.7,99.0,99.0,98.416
济南,100.2,96.8,96.7,97.212
烟台,100.4,98.7,98.2,100.796
青岛,100.2,96.9,96.8,97.708
济宁,99.9,93.4,93.3,95.705
郑州,100.3,94.8,94.5,94.776
洛阳,99.9,93.2,92.9,95.176
武汉,100.1,94.7,94.3,96.585
平顶山,99.8,95.7,95.7,97.723
长沙,100.1,100.4,100.2,100.901
宜昌,99.8,93.4,93.3,95.180
广州,100.5,99.3,99.4,99.039
襄阳,99.9,94.4,94.3,96.264
深圳,100.5,98.0,97.6,98.853
岳阳,100.6,95.6,95.1,96.793
南宁,99.5,93.4,93.5,95.829
常德,100.2,94.6,94.2,96.064
海口,100.1,98.0,97.9,98.017
韶关,99.4,95.5,95.5,96.579
重庆,100.3,97.2,97.0,98.599
湛江,100.4,94.6,94.4,96.456
成都,101.0,109.2,109.0,105.681
惠州,99.9,97.1,97.4,98.803
贵阳,100.4,96.2,96.1,96.833
桂林,100.5,96.7,96.3,96.843
昆明,99.5,100.1,100.2,98.111
北海,99.9,92.5,92.3,94.014
西安,100.8,99.4,98.8,105.939
三亚,100.1,98.9,98.9,99.009
兰州,99.6,94.9,94.9,96.939
泸州,100.2,97.5,97.4,96.060
西宁,100.1,98.4,98.0,97.718
南充,100.4,101.6,101.6,99.498
银川,100.4,97.0,96.6,99.205
遵义,100.5,95.5,95.1,94.729
乌鲁木齐,100.1,98.0,97.7,98.809
大理,99.8,95.9,95.7,94.505
