资产,月度收益率,年化收益率,年初至今收益率,当前价值
股票,-3.07,-1.87,-1.87,2474.70
国债,0.95,0.70,0.70,2512.86
现金,0.52,1.85,1.85,2547.06
黄金,-0.25,-0.06,-0.06,2473.26
