城市,2024-05环比,2024-05同比,2024-05 1-5月平均,2024-05实际房价
北京,98.8,91.4,93.6,94.697
唐山,98.4,91.2,93.0,90.314
天津,98.9,93.8,96.0,93.544
秦皇岛,99.1,92.3,93.9,92.745
石家庄,98.9,95.8,97.1,96.108
包头,99.0,92.5,94.1,92.682
太原,99.4,95.5,96.3,95.590
丹东,98.7,91.6,93.4,91.289
呼和浩特,98.8,92.7,94.0,91.408
锦州,99.5,93.4,94.4,91.627
沈阳,99.4,92.6,93.4,90.895
吉林,99.0,92.1,93.0,90.016
大连,99.1,91.7,93.2,92.609
牡丹江,99.1,92.6,93.5,90.603
长春,99.5,93.6,94.1,92.378
无锡,99.3,92.0,93.7,94.701
哈尔滨,99.3,92.8,94.1,92.000
徐州,98.8,87.6,89.0,89.019
上海,98.7,92.1,93.4,96.859
扬州,99.7,91.9,92.7,93.257
南京,99.4,89.3,90.6,93.511
温州,99.1,90.0,91.6,90.945
杭州,99.0,93.1,94.8,94.831
金华,98.5,90.8,92.8,92.405
宁波,98.4,90.5,92.6,91.807
蚌埠,99.2,93.1,94.6,96.655
合肥,99.1,92.1,93.5,95.515
安庆,98.7,92.5,93.9,91.178
福州,98.6,91.3,92.9,91.410
泉州,99.1,92.7,93.4,91.070
厦门,98.0,88.1,90.2,93.051
九江,98.8,91.3,93.3,92.591
南昌,98.1,92.1,94.0,92.127
赣州,98.8,96.4,98.0,94.862
济南,98.4,93.0,95.2,93.457
烟台,99.1,91.3,92.8,92.415
青岛,98.8,91.4,93.1,92.279
济宁,98.8,92.1,93.6,91.417
郑州,99.1,91.1,92.2,90.789
洛阳,99.0,92.7,93.7,90.547
武汉,98.7,88.7,91.1,89.245
平顶山,99.4,93.5,94.6,93.053
长沙,98.8,93.3,95.8,97.965
宜昌,98.7,93.2,94.1,90.750
广州,98.4,88.6,91.2,91.055
襄阳,98.8,90.4,92.3,89.357
深圳,99.0,90.8,92.7,90.339
岳阳,99.3,95.0,95.7,93.110
南宁,99.2,91.1,92.8,91.947
常德,98.8,92.3,94.8,91.034
海口,99.2,91.8,92.9,92.614
韶关,99.2,93.5,95.3,94.495
重庆,99.3,91.5,92.8,92.018
湛江,99.2,92.4,94.4,91.452
成都,98.9,93.0,95.8,100.325
惠州,98.8,92.9,94.6,93.628
贵阳,99.4,93.3,94.5,93.660
桂林,99.6,92.5,94.3,93.839
昆明,98.8,94.9,96.6,95.536
北海,99.4,94.4,95.7,93.687
西安,99.0,94.4,96.0,101.566
三亚,99.3,97.4,98.0,97.305
兰州,99.3,92.5,93.5,92.456
泸州,98.9,94.5,96.4,91.531
西宁,99.3,94.5,95.9,94.171
南充,98.9,94.7,96.5,95.292
银川,99.1,94.0,95.7,95.185
遵义,99.8,95.5,96.0,92.266
乌鲁木齐,99.4,95.0,95.7,93.814
大理,98.5,93.9,95.6,90.545
