城市,2024-07环比,2024-07同比,2024-07 1-7月平均,2024-07实际房价
北京,100.0,92.8,93.3,96.036
唐山,98.4,90.3,92.4,87.802
天津,99.2,93.2,95.2,92.793
秦皇岛,99.1,90.9,93.1,91.879
石家庄,99.7,94.7,96.4,95.912
包头,98.6,90.9,93.3,90.490
太原,99.7,95.2,96.0,95.304
丹东,98.6,90.7,92.8,89.505
呼和浩特,99.0,91.0,93.3,90.494
锦州,99.1,92.8,94.0,90.803
沈阳,99.3,92.4,93.2,90.219
吉林,99.5,93.1,92.9,90.830
大连,98.9,91.1,92.6,91.595
牡丹江,98.9,92.2,93.2,89.584
长春,99.6,93.5,93.9,91.973
无锡,99.4,91.9,93.2,93.935
哈尔滨,99.2,91.8,93.5,91.174
徐州,99.5,88.1,88.7,88.632
上海,100.1,94.4,93.6,98.877
扬州,99.4,91.6,92.4,92.582
南京,99.9,91.0,90.6,93.490
温州,99.1,89.3,90.9,90.128
杭州,99.6,94.1,94.6,95.498
金华,98.5,89.2,91.8,90.215
宁波,99.4,89.8,91.8,91.324
蚌埠,99.4,92.3,94.0,95.720
合肥,99.1,91.7,93.0,94.995
安庆,99.1,91.3,93.3,90.374
福州,99.0,90.4,92.2,90.000
泉州,98.4,90.2,92.7,89.033
厦门,98.2,86.8,89.4,90.377
九江,98.6,90.3,92.6,92.277
南昌,98.3,89.5,92.9,90.136
赣州,99.5,93.4,96.3,94.375
济南,98.9,91.2,94.2,93.442
烟台,99.0,89.8,91.9,91.487
青岛,99.2,91.2,92.5,92.569
济宁,99.6,91.6,93.1,92.087
郑州,99.1,91.4,91.9,90.739
洛阳,99.3,92.1,93.3,90.248
武汉,98.4,86.6,90.0,86.842
平顶山,99.6,93.2,94.4,92.300
长沙,99.5,91.6,94.6,96.014
宜昌,99.3,93.3,93.8,90.431
广州,99.1,87.6,90.2,90.254
襄阳,99.1,89.9,91.6,88.271
深圳,98.8,90.2,92.0,88.545
岳阳,99.6,94.6,95.4,92.755
南宁,99.1,90.8,92.3,91.108
常德,99.3,91.1,93.8,93.212
海口,99.1,90.9,92.4,91.349
韶关,99.3,93.1,94.7,92.357
重庆,99.4,91.5,92.4,91.665
湛江,98.8,91.5,93.7,90.697
成都,99.3,91.4,94.6,99.525
惠州,98.9,91.3,93.8,91.683
贵阳,99.3,93.2,94.1,92.511
桂林,99.7,93.0,93.9,93.446
昆明,100.0,94.3,96.0,96.536
北海,99.5,94.0,95.3,93.181
西安,99.4,94.1,95.5,100.754
三亚,99.4,95.5,97.3,96.826
兰州,99.1,90.8,92.8,91.633
泸州,99.2,93.5,95.6,90.798
西宁,98.6,92.7,95.1,92.922
南充,98.9,92.5,95.5,94.255
银川,99.7,93.8,95.1,94.394
遵义,99.4,95.1,95.8,91.813
乌鲁木齐,99.7,94.9,95.5,93.363
大理,99.1,92.9,95.0,90.644
