资产,月度收益率,年化收益率,年初至今收益率,当前价值
股票,9.67,1.23,1.23,2553.12
国债,-0.82,-0.25,-0.25,2489.20
现金,0.48,1.32,1.32,2533.88
黄金,0.45,0.19,0.19,2479.46
