城市,2024-10环比,2024-10同比,2024-10 1-10月平均,2024-10实际房价
北京,101.0,91.6,92.6,95.736
唐山,98.9,88.4,91.4,86.203
天津,99.7,92.8,94.6,92.076
秦皇岛,98.8,88.5,91.9,90.799
石家庄,99.4,92.5,95.4,94.594
包头,98.7,88.8,92.1,89.128
太原,99.3,95.2,95.8,94.608
丹东,98.5,89.3,91.9,88.305
呼和浩特,98.8,89.5,92.3,89.379
锦州,99.0,92.1,93.6,89.340
沈阳,100.0,92.0,92.8,90.113
吉林,99.3,93.5,93.1,90.244
大连,99.0,90.0,92.0,90.114
牡丹江,99.6,91.4,92.6,89.412
长春,99.5,93.3,93.7,91.404
无锡,100.0,90.8,92.5,91.935
哈尔滨,99.3,92.2,93.1,90.836
徐州,99.5,88.8,88.6,87.411
上海,100.2,93.3,93.5,98.962
扬州,99.7,90.9,91.9,91.582
南京,99.6,91.2,90.7,92.890
温州,99.5,87.7,90.1,88.373
杭州,100.8,93.1,94.2,95.436
金华,99.4,87.1,90.6,88.773
宁波,99.8,90.0,91.1,91.131
蚌埠,99.8,91.8,93.3,95.152
合肥,99.3,90.0,92.2,93.198
安庆,99.7,90.3,92.4,90.121
福州,100.0,89.4,91.3,90.000
泉州,98.8,88.5,91.6,87.084
厦门,100.1,85.5,88.2,85.203
九江,99.4,89.2,91.6,92.054
南昌,99.7,88.3,91.7,91.151
赣州,99.7,93.1,95.4,93.821
济南,99.2,90.0,93.0,92.519
烟台,99.7,90.1,91.3,91.421
青岛,99.5,90.4,92.0,91.388
济宁,99.9,92.3,92.6,92.081
郑州,99.2,91.1,91.7,89.061
洛阳,99.4,91.0,92.8,89.140
武汉,100.1,87.1,89.0,87.940
平顶山,99.7,92.9,93.8,91.828
长沙,99.5,90.5,93.5,95.162
宜昌,98.7,92.3,93.5,89.260
广州,99.6,87.5,89.4,89.038
襄阳,99.0,88.8,90.8,87.473
深圳,100.7,89.1,91.1,88.222
岳阳,99.2,93.8,95.0,91.555
南宁,99.0,90.0,91.6,90.206
常德,99.5,89.4,92.7,92.587
海口,99.6,90.1,91.7,91.007
韶关,99.6,93.0,94.1,92.257
重庆,100.5,92.0,92.1,91.597
湛江,99.6,91.1,92.9,91.024
成都,100.4,91.3,93.6,99.847
惠州,99.4,89.2,92.5,90.244
贵阳,99.5,93.2,93.8,91.190
桂林,99.6,93.8,93.8,93.774
昆明,99.1,93.3,95.5,95.670
北海,99.8,94.0,94.8,92.206
西安,99.1,92.3,94.7,93.278
三亚,99.2,92.9,96.3,96.166
兰州,99.6,90.3,92.2,91.266
泸州,98.8,92.9,95.1,90.114
西宁,99.5,92.4,94.6,92.333
南充,99.8,92.0,94.4,94.202
银川,99.8,94.2,94.7,94.533
遵义,99.5,94.7,95.5,91.236
乌鲁木齐,99.5,94.4,95.3,92.799
大理,99.3,91.3,94.0,89.596
