城市,2022-09环比,2022-09同比,2022-09定基(2020=100),2022-09实际房价
北京,100.4,104.6,116.5,101.104
唐山,99.3,95.3,97.2,97.329
天津,99.1,94.4,95.0,97.914
秦皇岛,99.5,95.9,95.7,98.111
石家庄,99.8,95.6,93.4,99.402
包头,99.2,95.6,97.8,98.506
太原,99.5,94.5,91.7,99.698
丹东,99.1,94.0,98.0,97.519
呼和浩特,99.5,95.0,94.0,97.620
锦州,99.4,94.7,93.5,98.909
沈阳,99.6,94.1,99.8,98.705
吉林,99.3,92.9,91.9,97.324
大连,99.3,96.2,103.2,99.300
牡丹江,98.9,89.0,82.0,97.716
长春,99.7,94.5,93.6,98.012
无锡,99.7,100.3,108.4,100.400
哈尔滨,99.4,90.5,88.9,97.913
徐州,99.7,95.8,104.3,97.912
上海,100.5,103.9,114.2,101.507
扬州,99.6,96.3,103.2,99.898
南京,100.1,96.6,103.6,99.799
温州,99.8,95.4,101.9,98.712
杭州,99.4,99.8,108.6,98.900
金华,99.5,94.2,101.1,97.930
宁波,99.7,98.5,106.8,99.499
蚌埠,99.7,95.9,100.8,99.502
合肥,100.2,98.8,104.5,101.704
安庆,99.4,93.6,90.4,97.815
福州,99.7,97.6,102.9,99.103
泉州,99.4,93.9,101.6,97.810
厦门,99.5,98.7,103.4,99.103
九江,99.8,97.4,100.7,99.501
南昌,99.8,98.4,98.9,99.099
赣州,99.7,100.1,101.4,99.400
济南,99.9,96.7,97.3,97.804
烟台,99.6,97.0,100.3,100.296
青岛,99.5,97.5,98.7,98.607
济宁,99.2,94.5,100.0,97.528
郑州,99.6,94.7,95.7,95.410
洛阳,99.4,93.0,97.0,97.435
武汉,99.2,94.4,97.7,97.324
平顶山,99.5,96.4,98.7,98.607
长沙,100.2,99.6,106.1,100.701
宜昌,99.4,93.5,92.2,97.134
广州,99.4,99.8,112.0,100.000
襄阳,99.3,94.3,94.2,97.311
深圳,99.6,96.5,103.6,98.111
岳阳,99.2,95.7,94.1,97.915
南宁,99.6,94.5,95.6,97.613
常德,99.8,94.4,92.9,97.819
海口,99.3,100.8,109.5,99.399
韶关,99.5,95.3,96.7,98.309
重庆,99.5,99.1,104.5,99.400
湛江,99.2,94.2,94.9,97.022
成都,100.3,107.0,115.2,103.530
惠州,99.7,98.2,101.9,99.700
贵阳,99.9,95.3,93.3,98.805
桂林,99.5,96.2,97.6,97.616
昆明,100.3,101.5,103.4,99.598
北海,98.9,92.7,90.7,96.150
西安,99.6,97.9,106.1,105.615
三亚,99.9,98.9,104.5,99.402
兰州,99.6,94.9,99.0,98.314
泸州,100.2,96.5,97.4,98.291
西宁,99.7,96.5,103.9,99.101
南充,99.7,99.9,94.0,99.898
银川,99.6,96.5,104.3,99.605
遵义,99.5,95.6,95.3,95.204
乌鲁木齐,100.0,97.1,99.6,98.703
大理,99.9,95.0,95.8,95.699
