城市,2024-02环比,2024-02同比,2024-02 1-2月平均,2024-02实际房价
北京,99.1,94.7,95.5,97.796
唐山,99.3,93.9,94.1,92.603
天津,99.4,96.9,97.4,95.307
秦皇岛,98.9,94.5,95.0,94.126
石家庄,99.4,97.5,97.9,97.381
包头,99.2,94.9,95.2,94.665
太原,99.5,96.4,96.8,96.251
丹东,99.7,94.3,94.3,92.303
呼和浩特,99.4,94.6,94.8,93.819
锦州,99.4,95.0,95.2,94.377
沈阳,99.0,94.1,94.4,93.726
吉林,99.7,93.5,93.4,92.612
大连,99.5,94.1,94.4,94.382
牡丹江,99.4,94.0,94.1,91.562
长春,99.1,94.4,94.6,93.511
无锡,100.2,94.9,95.3,97.118
哈尔滨,99.6,95.4,95.4,94.347
徐州,99.4,89.7,90.3,89.781
上海,99.4,94.0,94.7,98.509
扬州,99.5,93.4,93.6,96.742
南京,99.2,91.3,92.0,95.608
温州,99.0,92.3,93.0,92.717
杭州,99.3,95.8,96.4,96.111
金华,99.0,93.8,94.2,93.298
宁波,99.2,93.6,94.0,94.880
蚌埠,99.1,95.3,95.8,97.036
合肥,99.4,94.1,94.6,97.276
安庆,99.2,94.7,95.1,92.846
福州,99.1,93.2,93.8,94.015
泉州,99.6,93.8,93.8,92.258
厦门,98.9,91.2,91.6,95.399
九江,99.5,94.4,94.6,95.319
南昌,99.4,94.6,94.9,95.119
赣州,99.5,98.7,98.8,97.776
济南,99.3,96.3,96.8,95.568
烟台,99.7,93.6,93.9,94.328
青岛,99.4,93.8,94.2,93.482
济宁,99.6,94.6,94.7,93.678
郑州,99.3,92.7,93.2,90.658
洛阳,99.0,94.1,94.5,90.854
武汉,98.5,92.4,93.2,91.814
平顶山,98.9,95.1,95.5,93.557
长沙,99.5,97.3,97.6,99.683
宜昌,99.5,94.5,94.6,92.001
广州,99.0,92.5,93.2,93.092
襄阳,99.4,93.4,93.6,91.245
深圳,99.5,93.9,94.4,92.880
岳阳,99.7,95.8,96.3,94.226
南宁,99.2,94.0,94.1,92.419
常德,99.1,95.9,96.5,92.789
海口,99.4,93.6,93.9,93.533
韶关,99.2,96.2,96.3,94.148
重庆,99.7,93.6,93.9,94.435
湛江,99.3,95.3,95.9,92.743
成都,99.1,97.2,98.1,103.628
惠州,99.2,95.4,95.7,95.149
贵阳,99.4,95.1,95.6,93.871
桂林,99.6,95.2,95.6,94.700
昆明,100.4,97.9,97.4,97.630
北海,99.5,96.3,96.5,93.887
西安,99.6,96.9,97.5,103.144
三亚,99.6,98.8,99.0,97.932
兰州,99.5,94.5,94.5,93.438
泸州,99.8,97.3,97.5,93.501
西宁,99.5,96.6,96.8,94.789
南充,99.6,97.2,97.6,96.939
银川,99.2,96.6,97.2,96.479
遵义,99.7,96.5,96.9,92.673
乌鲁木齐,99.6,96.1,96.3,94.863
大理,99.3,96.4,96.6,91.723
