城市,2024-03环比,2024-03同比,2024-03 1-3月平均,2024-03实际房价
北京,99.6,93.6,94.8,97.405
唐山,99.4,93.6,93.9,92.644
天津,99.3,96.1,97.0,94.639
秦皇岛,99.4,93.8,94.6,93.562
石家庄,99.8,97.1,97.6,97.186
包头,99.3,94.3,94.9,93.904
太原,99.9,96.1,96.5,96.162
丹东,99.1,94.0,94.2,91.502
呼和浩特,99.5,94.3,94.6,93.351
锦州,99.5,94.7,95.0,94.204
沈阳,99.4,93.2,94.0,93.283
吉林,99.4,93.2,93.3,92.083
大连,99.2,93.1,94.0,93.541
牡丹江,99.4,93.6,93.9,91.414
长春,99.4,94.0,94.4,93.021
无锡,99.2,93.5,94.7,95.364
哈尔滨,99.3,94.0,94.9,92.603
徐州,99.2,88.7,89.8,91.007
上海,99.7,93.1,94.2,98.875
扬州,99.7,92.6,93.2,94.237
南京,99.5,90.5,91.5,94.892
温州,99.5,91.4,92.5,91.844
杭州,99.5,94.9,95.9,95.756
金华,99.1,92.6,93.7,93.846
宁波,99.4,92.7,93.6,94.235
蚌埠,99.3,94.5,95.4,97.205
合肥,99.7,93.6,94.3,96.376
安庆,99.4,93.9,94.7,92.344
福州,100.1,93.1,93.6,93.595
泉州,99.3,93.3,93.7,91.754
厦门,99.3,90.4,91.2,94.393
九江,99.7,93.9,94.4,95.041
南昌,99.9,94.6,94.8,95.045
赣州,99.5,97.8,98.5,97.210
济南,99.2,95.1,96.2,94.873
烟台,99.6,93.0,93.6,93.129
青岛,99.5,93.1,93.8,93.175
济宁,99.7,93.9,94.4,93.300
郑州,99.5,91.8,92.7,91.605
洛阳,99.6,93.6,94.2,91.440
武汉,99.1,91.1,92.5,91.605
平顶山,99.3,94.3,95.1,93.523
长沙,98.9,95.8,97.0,99.078
宜昌,99.5,94.1,94.4,91.899
广州,99.0,91.4,92.6,92.563
襄阳,99.2,92.5,93.3,90.514
深圳,99.0,92.6,93.8,91.250
岳阳,99.8,96.2,96.3,94.357
南宁,99.5,93.2,93.8,92.672
常德,99.0,94.9,96.0,92.030
海口,99.3,92.6,93.4,93.361
韶关,99.9,95.6,96.1,94.495
重庆,99.7,93.0,93.6,93.604
湛江,99.6,94.7,95.5,93.007
成都,99.3,95.7,97.3,101.436
惠州,99.7,95.0,95.5,95.855
贵阳,99.6,94.3,95.2,94.164
桂林,99.5,94.4,95.2,94.152
昆明,99.5,96.7,97.2,96.704
北海,99.8,95.8,96.3,94.009
西安,99.7,95.8,96.9,102.696
三亚,99.7,97.9,98.7,97.889
兰州,99.2,93.4,94.1,93.113
泸州,99.6,96.8,97.2,93.525
西宁,99.7,96.0,96.6,94.789
南充,99.8,96.6,97.3,97.060
银川,99.4,95.5,96.6,96.069
遵义,99.8,95.4,96.4,92.455
乌鲁木齐,99.4,95.7,96.1,94.311
大理,99.6,95.7,96.3,91.835
