城市,2024-09环比,2024-09同比,2024-09 1-9月平均,2024-09实际房价
北京,98.7,89.7,92.7,94.788
唐山,98.8,88.9,91.7,87.163
天津,99.5,92.8,94.7,92.333
秦皇岛,99.1,89.5,92.3,90.958
石家庄,99.2,92.9,95.7,95.143
包头,98.7,89.4,92.5,89.307
太原,99.8,95.6,95.9,94.925
丹东,99.1,90.1,92.2,89.651
呼和浩特,98.8,90.0,92.6,89.491
锦州,99.2,92.5,93.7,90.071
沈阳,98.9,91.7,92.9,89.118
吉林,99.5,93.6,93.1,90.877
大连,98.8,90.5,92.2,90.187
牡丹江,98.9,90.9,92.7,88.698
长春,99.2,93.4,93.8,92.357
无锡,98.8,90.7,92.7,91.808
哈尔滨,99.3,92.0,93.2,90.475
徐州,99.0,88.2,88.6,87.857
上海,98.8,92.4,93.5,97.760
扬州,98.6,90.2,92.0,91.386
南京,98.8,90.7,90.7,92.368
温州,98.5,87.9,90.3,88.796
杭州,98.6,92.8,94.3,94.183
金华,98.3,87.1,90.9,88.670
宁波,99.3,89.2,91.2,90.685
蚌埠,99.6,91.5,93.4,95.336
合肥,98.8,90.2,92.5,93.855
安庆,99.3,90.0,92.6,89.684
福州,98.8,88.7,91.5,88.777
泉州,98.6,88.8,91.9,87.632
厦门,98.3,84.6,88.4,88.730
九江,98.5,89.1,91.9,90.959
南昌,98.4,88.2,92.0,89.702
赣州,99.8,93.2,95.6,94.149
济南,99.4,90.5,93.3,93.462
烟台,99.4,89.4,91.4,90.970
青岛,98.9,90.3,92.1,90.862
济宁,99.7,91.6,92.7,91.881
郑州,99.0,91.1,91.8,89.732
洛阳,98.9,91.4,93.0,89.240
武汉,99.6,86.8,89.2,87.503
平顶山,99.4,92.6,93.9,91.702
长沙,99.1,90.7,93.8,95.148
宜昌,99.5,93.0,93.7,90.003
广州,98.9,87.2,89.6,89.299
襄阳,99.1,88.8,91.0,87.457
深圳,98.7,88.0,91.3,87.374
岳阳,99.4,93.9,95.1,92.218
南宁,98.8,89.7,91.8,90.022
常德,98.2,89.8,93.0,89.522
海口,99.5,89.8,91.8,91.104
韶关,99.3,92.8,94.2,92.175
重庆,98.9,90.9,92.1,91.059
湛江,99.1,91.1,93.1,91.079
成都,99.3,90.8,93.8,98.866
惠州,99.1,89.1,92.8,90.965
贵阳,99.6,93.3,93.9,93.013
桂林,99.5,93.5,93.8,93.556
昆明,99.1,93.3,95.5,95.670
北海,99.4,93.5,94.9,93.596
西安,99.2,93.1,95.0,94.043
三亚,98.2,93.8,96.7,95.112
兰州,99.6,90.3,92.2,91.266
泸州,98.8,92.9,95.1,90.114
西宁,99.5,92.5,94.6,92.333
南充,99.2,91.6,94.7,93.809
银川,99.7,93.7,94.8,93.976
遵义,99.1,94.5,95.5,91.167
乌鲁木齐,99.1,94.7,95.4,92.533
大理,99.4,91.7,94.3,90.199
