城市,2023-10环比,2023-10同比,2023-10 1-10月平均,2023-10实际房价
北京,98.9,99.8,102.2,100.885
唐山,99.4,94.8,94.2,94.260
天津,99.7,97.7,95.7,95.297
秦皇岛,99.8,96.9,96.1,94.970
石家庄,99.8,98.0,97.4,97.535
包头,99.4,96.0,96.3,95.884
太原,99.6,97.2,96.9,97.430
丹东,99.3,94.2,94.0,93.224
呼和浩特,99.3,95.4,95.4,94.520
锦州,99.4,95.5,94.9,95.404
沈阳,99.7,94.4,94.2,95.651
吉林,99.3,93.1,91.9,91.774
大连,99.6,95.3,95.5,96.103
牡丹江,99.0,93.7,92.0,93.964
长春,99.5,94.0,93.8,93.773
无锡,99.9,97.2,98.9,98.402
哈尔滨,99.1,95.0,94.0,94.916
徐州,98.8,95.8,98.2,94.843
上海,99.2,97.7,100.4,100.009
扬州,98.9,95.9,97.7,96.742
南京,98.9,95.6,98.1,98.502
温州,99.6,96.0,96.3,96.827
杭州,100.5,98.7,98.2,97.909
金华,99.5,95.7,95.5,95.488
宁波,98.8,96.2,98.1,96.462
蚌埠,99.4,98.3,97.9,99.205
合肥,99.5,97.2,99.2,99.701
安庆,99.3,96.2,95.4,94.241
福州,99.2,96.2,97.5,95.892
泉州,99.1,94.1,94.0,93.305
厦门,99.1,94.5,96.2,98.812
九江,99.3,97.0,97.1,96.978
南昌,99.6,96.2,97.3,96.526
赣州,99.8,99.8,99.4,98.908
济南,99.7,97.3,97.7,96.236
烟台,98.8,96.2,98.4,97.005
青岛,99.5,95.8,96.4,95.197
济宁,99.1,95.6,94.7,94.718
郑州,99.2,94.5,95.0,92.398
洛阳,99.8,96.0,94.5,93.949
武汉,99.7,96.3,95.9,95.793
平顶山,99.4,96.8,96.5,96.252
长沙,99.7,100.1,100.9,101.195
宜昌,99.5,94.6,93.8,92.915
广州,99.2,96.1,97.9,95.501
襄阳,99.0,95.8,95.5,93.602
深圳,99.5,98.7,98.4,96.683
岳阳,99.3,96.5,95.9,95.058
南宁,98.7,94.7,94.6,93.845
常德,99.9,98.3,96.4,96.056
海口,99.3,96.2,96.9,95.809
韶关,99.4,96.6,96.8,95.948
重庆,99.3,95.5,96.8,96.450
湛江,99.5,97.4,96.3,95.062
成都,99.9,103.1,106.8,106.104
惠州,99.2,97.0,97.6,96.449
贵阳,99.5,97.6,97.6,95.581
桂林,99.3,96.2,96.6,94.536
昆明,98.7,98.6,100.0,95.663
北海,99.2,96.4,94.5,92.537
西安,100.0,99.2,99.5,104.474
三亚,100.1,100.5,99.7,99.021
兰州,99.3,95.7,95.8,95.226
泸州,99.7,97.4,97.9,94.118
西宁,99.7,99.1,98.6,96.730
南充,99.4,98.8,100.7,98.700
银川,99.4,97.5,97.7,97.722
遵义,99.4,96.2,96.4,93.134
乌鲁木齐,99.9,96.3,97.2,96.546
大理,99.8,97.0,96.8,93.627
