城市,2025-03环比,2025-03同比,2025-03 1-03月平均,2025-03实际房价
北京,100.5,97.9,97.1,97.672
唐山,99.4,88.7,88.6,83.393
天津,100.0,95.2,94.7,91.982
秦皇岛,99.2,89.4,89.3,88.048
石家庄,99.9,93.1,92.9,93.340
包头,99.2,89.3,89.2,87.270
太原,99.5,95.1,95.5,93.774
丹东,99.6,90.1,89.7,87.506
呼和浩特,99.7,89.0,88.8,87.178
锦州,99.7,91.6,91.5,90.064
沈阳,99.8,93.8,93.3,89.275
吉林,99.5,94.4,94.2,90.547
大连,99.6,91.1,90.9,90.205
牡丹江,99.6,92.3,92.1,87.647
长春,99.6,93.6,93.5,89.692
无锡,99.5,92.9,92.9,91.237
哈尔滨,99.7,92.3,92.0,89.317
徐州,99.4,92.8,92.7,86.775
上海,100.4,98.6,98.1,101.052
扬州,100.3,91.5,91.2,89.398
南京,99.6,95.1,94.8,92.745
温州,99.9,90.0,89.5,87.190
杭州,101.0,97.3,96.2,96.586
金华,99.9,89.6,88.8,87.867
宁波,100.1,92.6,92.1,91.715
蚌埠,99.8,93.8,93.3,94.411
合肥,99.8,91.8,91.7,92.417
安庆,99.5,91.2,91.1,91.143
福州,99.8,90.6,90.7,89.513
泉州,99.4,89.2,89.0,86.879
厦门,99.7,90.3,89.9,75.279
九江,99.8,91.2,91.0,91.441
南昌,100.3,89.8,89.5,90.762
赣州,99.7,95.3,95.0,93.363
济南,100.0,91.4,90.7,91.562
烟台,99.7,90.6,90.7,89.734
青岛,99.9,93.1,92.7,91.472
济宁,99.9,94.5,94.4,91.446
郑州,99.3,92.1,92.2,87.045
洛阳,99.8,93.4,93.1,88.363
武汉,99.9,91.7,90.9,87.019
平顶山,99.6,95.2,94.8,91.469
长沙,99.5,92.1,91.7,94.031
宜昌,99.7,93.0,92.8,89.202
广州,99.8,91.3,90.6,88.188
襄阳,99.6,90.3,90.0,86.187
深圳,100.3,95.9,94.8,89.357
岳阳,99.6,93.9,94.0,90.412
南宁,99.5,91.1,91.0,90.021
常德,99.5,91.5,91.1,91.072
海口,99.8,94.1,93.5,90.733
韶关,99.8,93.4,93.3,91.431
重庆,99.8,94.7,94.5,91.514
湛江,99.9,92.7,92.5,90.307
成都,100.1,97.0,96.1,102.067
惠州,99.2,89.4,89.6,89.127
贵阳,99.8,95.1,94.8,90.622
桂林,100.1,94.8,94.4,93.161
昆明,99.7,92.5,92.6,94.150
北海,99.8,94.7,94.7,91.380
西安,99.7,93.1,93.0,93.294
三亚,99.7,93.2,93.0,95.320
兰州,99.8,91.6,91.1,90.283
泸州,100.1,92.3,92.0,90.689
西宁,100.0,92.8,92.6,90.569
南充,100.0,93.4,93.3,94.113
银川,99.6,94.5,94.4,93.672
遵义,99.8,94.3,94.3,91.153
乌鲁木齐,99.8,94.5,94.3,92.576
大理,99.5,92.5,92.5,88.503
