城市,2023-06环比,2023-06同比,2023-06 1-6月平均,2023-06实际房价
北京,99.3,101.5,103.4,101.183
唐山,98.9,94.5,93.9,95.333
天津,99.8,96.1,94.9,96.252
秦皇岛,99.5,95.9,95.9,95.351
石家庄,99.7,97.6,97.3,98.223
包头,99.7,96.7,96.2,97.630
太原,99.5,96.8,96.8,98.113
丹东,99.4,93.8,94.0,94.830
呼和浩特,99.8,95.5,95.1,95.587
锦州,99.5,95.3,94.7,96.028
沈阳,99.5,94.1,94.1,95.926
吉林,99.3,92.3,91.4,93.605
大连,99.4,95.7,95.8,96.701
牡丹江,99.4,92.5,91.2,94.817
长春,99.6,94.4,93.5,94.758
无锡,99.3,98.6,100.1,98.993
哈尔滨,99.5,95.3,93.3,97.328
徐州,99.1,98.2,98.9,97.313
上海,98.8,100.2,102.0,101.119
扬州,99.6,98.7,98.3,98.606
南京,98.9,99.3,99.0,101.216
温州,99.8,97.1,96.2,98.184
杭州,99.4,97.6,98.6,97.904
金华,99.6,96.3,95.3,96.543
宁波,99.3,98.1,98.9,98.207
蚌埠,99.6,98.0,97.6,99.300
合肥,99.6,99.9,100.0,100.503
安庆,99.6,95.6,94.9,95.080
福州,99.4,97.5,98.1,97.138
泉州,99.4,94.0,93.8,95.003
厦门,99.3,95.1,97.0,100.789
九江,99.8,97.3,97.3,98.121
南昌,99.8,98.1,97.8,97.245
赣州,100.3,99.2,99.1,99.702
济南,99.7,98.4,97.7,97.006
烟台,99.7,99.6,99.1,99.992
青岛,99.7,96.4,96.9,97.127
济宁,99.7,94.9,94.2,95.816
郑州,99.2,95.3,95.1,94.051
洛阳,99.6,94.9,93.9,94.608
武汉,99.4,96.6,95.7,96.937
平顶山,99.5,96.5,96.3,97.431
长沙,100.1,102.0,101.1,102.312
宜昌,99.2,93.9,93.5,93.677
广州,99.7,97.8,98.9,98.045
襄阳,99.8,96.4,95.2,96.006
深圳,99.3,98.7,98.3,98.358
岳阳,99.8,96.6,95.5,96.893
南宁,99.3,95.0,94.4,95.941
常德,99.6,96.5,95.4,95.884
海口,99.6,96.4,97.4,97.346
韶关,99.6,97.6,96.6,96.831
重庆,99.5,97.1,97.5,98.309
湛江,99.7,97.0,95.7,96.385
成都,100.2,106.8,108.7,106.639
惠州,99.2,97.6,97.7,97.518
贵阳,99.6,98.8,97.5,96.642
桂林,99.4,96.7,96.7,95.863
昆明,99.3,99.9,100.3,97.604
北海,99.4,94.5,93.5,94.233
西安,99.6,99.8,99.7,104.789
三亚,100.2,100.3,99.5,99.298
兰州,100.1,96.6,95.6,97.817
泸州,99.7,98.9,98.2,95.625
西宁,100.2,99.4,98.4,98.111
南充,100.1,100.7,101.6,99.797
银川,99.6,98.3,97.7,98.901
遵义,99.5,97.4,96.5,93.999
乌鲁木齐,99.5,97.5,97.5,97.127
大理,99.4,96.8,96.6,93.736
