城市,2025-06环比,2025-06同比,2025-06 1-06月平均,2025-06实际房价
北京,99.0,98.2,97.9,95.720
唐山,99.1,89.8,89.0,81.953
天津,99.5,96.5,95.6,91.473
秦皇岛,99.3,90.5,89.6,87.477
石家庄,99.4,94.5,93.4,92.520
包头,99.3,90.9,89.8,86.980
太原,99.5,95.0,95.2,91.739
丹东,99.1,92.0,90.8,87.084
呼和浩特,99.6,90.9,89.5,86.239
锦州,99.7,92.5,91.9,89.520
沈阳,99.6,94.9,94.0,88.425
吉林,99.6,95.4,94.7,90.058
大连,99.5,93.0,91.8,89.684
牡丹江,99.9,93.3,92.4,87.059
长春,99.4,93.8,93.7,88.885
无锡,99.3,95.1,93.8,90.184
哈尔滨,99.7,93.4,92.4,88.502
徐州,98.7,92.8,92.8,83.665
上海,99.3,98.7,98.7,99.551
扬州,99.5,91.3,91.3,88.099
南京,99.1,94.5,95.0,90.971
温州,99.3,91.4,90.3,86.262
杭州,99.2,97.6,97.2,95.590
金华,99.4,91.6,89.8,87.262
宁波,99.5,94.4,92.8,90.256
蚌埠,99.5,95.1,94.0,93.541
合肥,99.1,92.4,92.1,91.268
安庆,99.4,92.3,91.5,89.822
福州,99.5,92.6,91.3,88.750
泉州,99.4,91.1,89.6,86.601
厦门,99.4,93.2,91.1,74.251
九江,99.2,92.7,91.9,90.621
南昌,99.1,92.3,90.5,88.901
赣州,99.3,97.7,96.1,93.176
济南,99.5,93.5,91.7,91.012
烟台,99.4,93.1,91.5,89.055
青岛,99.5,94.9,93.6,90.836
济宁,99.0,95.1,94.8,89.909
郑州,99.1,91.8,92.1,86.267
洛阳,99.7,95.0,93.8,87.916
武汉,99.1,93.9,92.0,85.909
平顶山,99.5,95.3,94.9,90.656
长沙,98.8,93.5,92.4,92.579
宜昌,99.4,94.4,93.4,88.673
广州,99.3,94.1,92.0,87.504
襄阳,99.2,91.6,90.7,85.110
深圳,99.5,97.2,95.8,88.605
岳阳,99.5,94.3,94.1,89.915
南宁,99.5,92.7,91.7,89.309
常德,99.1,92.4,91.7,89.795
海口,99.6,95.6,94.3,90.083
韶关,99.6,94.0,93.4,90.851
重庆,99.3,96.0,95.1,90.690
湛江,99.7,93.9,93.1,89.364
成都,99.6,99.5,97.4,101.809
惠州,99.4,90.9,89.9,87.706
贵阳,99.4,95.2,95.0,89.772
桂林,99.6,95.4,94.9,91.668
昆明,99.3,92.2,92.3,92.003
北海,99.2,93.9,94.5,89.633
西安,99.2,93.4,93.2,92.075
三亚,99.5,93.2,93.1,94.600
兰州,99.3,92.9,91.8,89.492
泸州,99.5,94.1,92.8,89.627
西宁,100.1,94.6,93.3,90.760
南充,99.3,95.3,93.9,92.967
银川,99.2,95.5,94.9,92.454
遵义,99.3,94.0,94.2,90.284
乌鲁木齐,99.6,95.4,94.6,92.195
大理,99.8,94.4,93.2,87.990
