城市,2023-11环比,2023-11同比,2023-11 1-11月平均,2023-11实际房价
北京,98.6,98.6,101.9,99.473
唐山,99.3,94.6,94.2,94.100
天津,99.8,98.0,95.9,96.106
秦皇岛,99.2,96.6,96.1,94.213
石家庄,99.6,98.3,97.5,97.540
包头,99.5,95.9,96.2,95.605
太原,99.6,97.2,97.0,97.044
丹东,99.1,93.8,94.0,92.310
呼和浩特,99.2,94.7,95.3,93.774
锦州,99.0,95.0,94.9,94.550
沈阳,99.2,94.4,94.2,94.886
吉林,99.4,93.3,92.0,91.193
大连,99.4,95.2,95.5,95.546
牡丹江,98.9,93.8,92.2,92.865
长春,99.3,93.8,93.8,93.025
无锡,99.0,96.5,98.7,97.418
哈尔滨,99.5,95.3,94.1,94.417
徐州,98.2,94.0,97.8,93.136
上海,98.5,96.7,100.1,98.509
扬州,98.8,95.1,97.5,95.681
南京,98.6,94.6,97.8,97.123
温州,98.6,95.3,96.2,94.878
杭州,100.0,98.9,98.3,97.909
金华,99.1,95.4,95.5,95.019
宁波,99.5,96.1,98.0,96.080
蚌埠,99.5,97.4,97.8,98.702
合肥,99.1,96.7,98.9,98.809
安庆,99.4,96.5,95.5,94.015
福州,99.1,95.9,97.3,95.409
泉州,99.2,94.0,94.0,92.566
厦门,98.7,93.5,95.9,97.525
九江,98.8,96.2,97.0,95.809
南昌,99.3,96.0,97.2,96.383
赣州,99.5,99.5,99.4,98.412
济南,99.4,97.2,97.7,95.595
烟台,98.7,95.3,98.1,97.123
青岛,98.7,95.2,96.3,94.060
济宁,98.9,95.5,94.8,93.526
郑州,99.1,94.5,94.9,92.558
洛阳,99.3,95.9,94.6,93.291
武汉,98.7,95.7,95.8,94.548
平顶山,99.7,97.0,96.5,96.432
长沙,99.4,99.4,100.8,100.587
宜昌,99.8,94.6,93.9,92.731
广州,99.0,95.7,97.7,94.535
襄阳,98.9,95.1,95.5,92.569
深圳,98.5,97.5,98.4,94.919
岳阳,99.7,96.6,95.9,95.017
南宁,98.8,94.0,94.6,92.718
常德,98.9,97.8,96.5,95.081
海口,99.1,95.6,96.8,94.949
韶关,99.3,96.4,96.8,95.263
重庆,99.3,95.4,96.6,95.770
湛江,99.2,97.5,96.3,94.703
成都,99.5,102.2,106.3,106.072
惠州,99.8,97.1,97.5,96.929
贵阳,99.3,97.3,97.6,95.378
桂林,99.6,96.5,96.6,94.791
昆明,99.0,97.1,99.7,96.006
北海,99.4,96.4,94.6,94.620
西安,99.4,99.3,99.4,103.836
三亚,99.4,100.2,99.8,98.416
兰州,99.1,94.9,95.7,95.009
泸州,99.7,98.0,97.9,93.974
西宁,99.2,98.7,98.6,96.535
南充,99.4,98.8,100.6,97.601
银川,99.5,97.5,97.7,97.221
遵义,99.7,96.1,96.4,93.005
乌鲁木齐,99.8,96.1,97.1,96.351
大理,99.0,96.8,96.8,92.829
