城市,2024-06环比,2024-06同比,2024-06 1-6月平均,2024-06实际房价
北京,100.2,92.2,93.3,96.036
唐山,98.8,91.1,92.7,89.229
天津,99.6,93.6,95.6,93.071
秦皇岛,98.3,91.2,93.4,91.044
石家庄,98.9,95.0,96.7,95.797
包头,98.7,91.5,93.7,91.770
太原,99.5,95.5,96.2,95.601
丹东,99.4,91.6,93.1,90.733
呼和浩特,98.7,91.7,93.6,91.257
锦州,99.3,93.3,94.2,91.367
沈阳,99.4,92.5,93.3,90.840
吉林,99.7,92.5,92.9,91.270
大连,99.1,91.5,92.9,91.327
牡丹江,99.3,92.5,93.3,90.493
长春,99.5,93.5,94.0,92.198
无锡,99.1,91.8,93.4,92.343
哈尔滨,98.6,92.0,93.8,91.930
徐州,99.3,87.8,88.8,89.479
上海,100.5,93.7,93.5,98.612
扬州,99.5,91.8,92.5,93.034
南京,100.1,90.3,90.5,93.823
温州,99.2,89.4,91.2,90.405
杭州,100.3,93.9,94.7,95.343
金华,98.6,89.9,92.3,91.017
宁波,98.6,89.9,92.1,90.882
蚌埠,99.1,92.6,94.3,95.365
合肥,99.4,92.0,93.3,96.669
安庆,98.9,91.9,93.6,90.185
福州,98.8,90.7,92.5,90.519
泉州,98.0,91.4,93.1,90.286
厦门,99.0,87.9,89.8,91.803
九江,99.4,91.0,92.9,93.063
南昌,98.4,90.8,93.5,91.458
赣州,99.0,93.9,96.8,97.006
济南,98.8,92.1,94.7,94.096
烟台,98.2,89.9,92.3,90.398
青岛,99.4,91.2,92.7,91.842
济宁,99.5,91.9,93.3,92.171
郑州,99.5,91.4,92.0,90.636
洛阳,99.5,92.6,93.5,90.048
武汉,98.1,87.5,90.5,88.469
平顶山,99.4,93.4,94.4,92.755
长沙,98.4,91.8,95.1,96.502
宜昌,99.1,93.2,93.9,91.070
广州,98.5,87.6,90.6,89.768
襄阳,99.2,89.9,91.9,88.533
深圳,99.0,90.5,92.3,89.749
岳阳,99.4,94.6,95.6,93.351
南宁,99.4,91.2,92.6,91.930
常德,99.1,91.9,94.3,91.667
海口,99.1,91.3,92.7,91.454
韶关,99.2,93.2,94.9,93.658
重庆,99.2,91.3,92.5,92.015
湛江,99.5,92.2,94.0,92.002
成都,98.9,91.8,95.1,99.725
惠州,98.6,92.4,94.2,92.785
贵阳,99.4,93.1,94.2,93.089
桂林,99.5,92.7,94.0,93.223
昆明,99.1,94.7,96.3,96.026
北海,99.8,94.8,95.5,93.505
西安,99.2,94.1,95.7,100.753
三亚,99.5,95.7,97.6,97.277
兰州,98.7,91.2,93.1,91.220
泸州,98.9,93.7,95.9,91.131
西宁,99.4,93.8,95.6,93.679
南充,98.6,93.2,96.0,95.301
银川,99.1,93.4,95.3,94.460
遵义,99.3,95.3,95.9,92.064
乌鲁木齐,99.0,94.6,95.6,93.370
大理,99.5,94.0,95.3,90.603
