城市,2025-02环比,2025-02同比,2025-02 1-2月平均,2025-02实际房价
北京,100.0,97.1,96.6,97.187
唐山,99.4,88.6,88.6,83.794
天津,99.6,94.5,94.4,91.982
秦皇岛,99.6,89.6,89.3,88.618
石家庄,99.8,93.0,92.8,93.436
包头,99.8,89.4,89.1,87.797
太原,99.4,95.6,95.6,93.679
丹东,100.0,89.6,89.5,87.858
呼和浩特,99.6,88.8,88.7,87.390
锦州,99.5,91.5,91.4,89.884
沈阳,99.7,93.4,93.1,89.265
吉林,99.8,94.2,94.1,90.822
大连,99.3,90.7,90.8,90.567
牡丹江,99.6,92.1,92.0,87.847
长春,99.3,93.4,93.4,89.666
无锡,99.9,92.7,92.8,91.584
哈尔滨,99.6,91.9,91.9,89.328
徐州,99.2,92.6,92.7,87.098
上海,99.6,97.9,97.8,100.247
扬州,99.1,90.9,91.1,88.338
南京,99.7,94.9,94.6,93.118
温州,99.8,89.6,89.2,87.099
杭州,99.8,95.9,95.7,95.629
金华,99.7,88.8,88.5,87.775
宁波,99.6,92.0,91.8,91.255
蚌埠,99.8,93.4,93.1,94.411
合肥,99.7,91.8,91.7,92.525
安庆,99.4,91.1,91.1,91.098
福州,99.4,90.9,90.7,89.354
泉州,99.9,89.1,89.0,87.318
厦门,99.7,90.0,89.6,75.156
九江,99.8,91.1,91.0,91.443
南昌,99.7,89.5,89.4,90.220
赣州,99.9,95.1,94.9,93.548
济南,99.8,90.6,90.4,91.562
烟台,99.2,90.5,90.7,90.008
青岛,99.9,92.7,92.4,91.574
济宁,99.8,94.4,94.3,91.356
郑州,99.4,92.4,92.3,87.634
洛阳,99.7,93.2,92.9,88.316
武汉,99.4,91.0,90.5,87.106
平顶山,99.7,95.0,94.6,91.662
长沙,99.6,91.6,91.5,94.125
宜昌,99.6,92.8,92.8,89.470
广州,99.7,90.6,90.3,88.219
襄阳,99.4,89.9,89.9,85.825
深圳,100.3,94.7,94.3,89.287
岳阳,99.9,94.1,94.0,90.515
南宁,99.6,91.1,91.0,90.121
常德,99.7,91.1,90.8,91.253
海口,100.2,93.6,93.2,90.916
韶关,99.7,93.5,93.2,91.340
重庆,99.9,94.5,94.5,91.600
湛江,99.6,92.5,92.3,90.014
成都,100.2,96.2,95.7,101.068
惠州,99.5,89.8,89.7,89.396
贵阳,99.8,94.9,94.7,90.621
桂林,99.5,94.2,94.3,92.603
昆明,99.5,92.3,92.7,94.053
北海,99.4,94.6,94.7,91.214
西安,99.6,93.0,93.0,93.191
三亚,99.8,93.1,93.0,95.412
兰州,99.9,91.0,90.9,90.373
泸州,99.5,91.8,91.9,90.142
西宁,99.5,92.6,92.6,90.116
南充,99.7,93.2,93.2,93.830
银川,99.3,94.4,94.3,93.390
遵义,99.5,94.3,94.3,90.863
乌鲁木齐,99.7,94.2,94.1,92.496
大理,99.7,92.7,92.5,88.681
